#Frame          CA.CA   CA.CA[Max]
       1      10.4089      18.2826
       2      10.4655      18.8314
       3      10.5229      18.0608
       4      10.4238      18.1844
       5      10.5096      18.2664
       6      10.5533      19.0685
       7      10.3927      18.1010
       8      10.4781      18.6404
       9      10.4498      17.5281
      10      10.4658      18.6830
      11      10.5129      18.2309
      12      10.4102      18.3542
      13      10.4487      18.8303
      14      10.4343      18.5649
      15      10.4912      18.6309
      16      10.4859      18.1231
      17      10.4554      18.0793
      18      10.3581      18.9993
      19      10.4712      17.8912
      20      10.4098      17.3772
      21      10.5063      18.0234
      22      10.4127      17.4438
      23      10.5065      18.1360
      24      10.5174      18.1808
      25      10.4802      18.5752
      26      10.4127      18.4537
      27      10.4601      17.7179
      28      10.4396      18.7430
      29      10.5547      19.1063
      30      10.5607      19.5625
      31      10.5597      19.0280
      32      10.5513      19.5506
      33      10.5230      17.9864
      34      10.4592      17.6482
      35      10.4701      18.2962
      36      10.4359      17.4056
      37      10.5095      17.3577
      38      10.5244      18.0319
      39      10.5263      18.4401
      40      10.4592      18.4688
      41      10.4026      17.7206
      42      10.4794      17.8328
      43      10.5117      17.7073
      44      10.4410      17.5798
      45      10.5263      18.9943
      46      10.5065      18.8249
      47      10.5500      18.6570
      48      10.3841      18.1374
      49      10.5052      18.0475
      50      10.4315      17.4787
      51      10.4623      17.6151
      52      10.5090      19.3243
      53      10.4199      18.0111
      54      10.4860      18.2142
      55      10.4337      18.0162
      56      10.4905      17.6663
      57      10.4849      18.0692
      58      10.4493      18.4559
      59      10.5362      18.7967
      60      10.4592      18.4149
      61      10.4497      18.3853
      62      10.4509      18.8019
      63      10.4714      19.0834
      64      10.4528      17.9003
      65      10.4760      17.8740
      66      10.4072      17.7677
      67      10.3907      17.8672
      68      10.4664      17.8620
      69      10.5060      17.4213
      70      10.4670      17.3763
      71      10.4132      17.1727
      72      10.4920      18.0862
      73      10.4039      18.1175
      74      10.4736      17.9560
      75      10.5022      17.3820
      76      10.4756      17.7635
      77      10.4249      17.8393
      78      10.4292      18.9079
      79      10.4527      18.4554
      80      10.4181      18.1032
      81      10.4410      18.0283
      82      10.5319      19.0858
      83      10.3929      18.3607
      84      10.4692      17.5617
      85      10.5402      17.8415
      86      10.5246      18.1989
      87      10.4905      18.3623
      88      10.4880      18.9734
      89      10.4418      17.8852
      90      10.4882      18.9438
      91      10.4473      17.9494
      92      10.5096      18.1426
      93      10.5142      17.6755
      94      10.3479      16.7053
      95      10.5172      18.4795
      96      10.4858      18.0465
      97      10.4363      18.8822
      98      10.5066      18.6774
      99      10.5410      18.5082
     100      10.5381      18.7898
     101      10.4937      19.9976
     102      10.6254      20.6882
     103      10.4952      18.9836
     104      10.4857      18.0996
     105      10.4572      18.3827
     106      10.4794      17.9205
     107      10.4638      18.7876
     108      10.4813      18.5978
     109      10.5164      18.4896
     110      10.5672      18.7617
     111      10.4766      18.2882
     112      10.4681      17.9323
     113      10.5287      17.8420
     114      10.4597      18.2814
     115      10.4571      18.2471
     116      10.4763      19.0007
     117      10.4958      18.3017
     118      10.5363      18.0545
     119      10.4161      18.2760
     120      10.5185      18.9506
     121      10.4826      18.7282
     122      10.4394      17.7720
     123      10.5121      18.7069
     124      10.4139      17.7878
     125      10.6623      17.8763
     126      10.5462      17.3797
     127      10.4882      18.5571
     128      10.5932      19.2767
     129      10.5299      18.9018
     130      10.4942      17.7708
     131      10.4388      18.5225
     132      10.5917      19.8615
     133      10.4591      18.0638
     134      10.5109      18.2228
     135      10.4821      17.4409
     136      10.5241      18.7470
     137      10.5689      19.0744
     138      10.5358      19.2360
     139      10.4767      18.5635
     140      10.5960      19.6531
     141      10.5624      20.6897
     142      10.5658      17.7196
     143      10.5795      18.4656
     144      10.5128      18.3390
     145      10.7039      19.3346
     146      10.6103      19.1780
     147      10.4825      18.0034
     148      10.4796      18.4659
     149      10.4382      18.2066
     150      10.4092      17.4518
     151      10.5668      17.9143
     152      10.5561      18.0885
     153      10.5084      18.9392
     154      10.4249      18.8671
     155      10.5964      19.7063
     156      10.5584      18.3945
     157      10.5227      19.1452
     158      10.5443      19.4590
     159      10.6071      18.7638
     160      10.5434      18.9785
     161      10.4670      18.6625
     162      10.5451      19.7583
     163      10.5511      19.3375
     164      10.4866      18.2417
     165      10.4711      18.7805
     166      10.4274      18.7012
     167      10.4514      19.0326
     168      10.4954      18.2827
     169      10.4634      19.3017
     170      10.4110      17.1017
     171      10.4860      17.4363
     172      10.5319      18.3996
     173      10.5675      19.1925
     174      10.4376      17.6311
     175      10.4824      18.7176
     176      10.5421      18.9432
     177      10.4605      17.9078
     178      10.3924      18.0571
     179      10.4831      17.9768
     180      10.3419      17.4042
     181      10.4987      18.5849
     182      10.4597      18.4932
     183      10.4609      18.0195
     184      10.5010      17.8242
     185      10.4691      18.0063
     186      10.3902      17.4755
     187      10.4347      17.0839
     188      10.4977      17.7128
     189      10.4755      17.5147
     190      10.4207      17.0955
     191      10.4498      17.4791
     192      10.4429      17.1639
     193      10.4289      16.8923
     194      10.4857      17.3273
     195      10.4324      17.4156
     196      10.4854      17.1678
     197      10.4666      17.9332
     198      10.3845      17.0332
     199      10.4333      18.1160
     200      10.4109      17.9191
     201      10.4890      17.6225
     202      10.4291      18.0947
     203      10.4557      17.7553
     204      10.4440      18.1038
     205      10.4924      18.3844
     206      10.4554      18.5361
     207      10.3880      18.7975
     208      10.5034      17.9608
     209      10.4017      19.2144
     210      10.4572      17.6348
     211      10.5151      18.3768
     212      10.4825      17.7343
     213      10.4322      17.5690
     214      10.5345      19.1722
     215      10.4657      19.2394
     216      10.4645      18.8400
     217      10.5271      18.7028
     218      10.4440      17.4195
     219      10.3579      18.3041
     220      10.3792      17.8402
     221      10.3790      17.4869
     222      10.4732      18.5962
     223      10.4010      19.6781
     224      10.4597      18.2034
     225      10.4526      18.8291
     226      10.4264      18.8021
     227      10.4844      18.3591
     228      10.3852      17.4636
     229      10.4043      17.7132
     230      10.4727      17.0933
     231      10.5365      17.7779
     232      10.4906      17.9744
     233      10.4944      18.7746
     234      10.4482      18.5413
     235      10.4859      19.4468
     236      10.5098      18.8863
     237      10.3576      18.2610
     238      10.4722      18.7073
     239      10.4708      18.7019
     240      10.3948      19.0437
     241      10.4647      19.1456
     242      10.4464      18.9051
     243      10.4382      18.1324
     244      10.4152      18.6963
     245      10.4620      19.1056
     246      10.4420      18.9726
     247      10.4051      17.7189
     248      10.4781      18.1285
     249      10.4284      17.3036
     250      10.4351      17.0598
     251      10.4035      17.4685
     252      10.4158      17.2169
     253      10.4642      17.6163
     254      10.4075      17.1853
     255      10.4269      17.7314
     256      10.5451      18.3429
     257      10.4203      17.7723
     258      10.4310      17.7176
     259      10.5255      18.5162
     260      10.3417      18.0777
     261      10.4175      17.7774
     262      10.4226      17.3458
     263      10.4713      17.6023
     264      10.4195      17.1852
     265      10.4687      17.7074
     266      10.4681      18.7708
     267      10.4310      18.1060
     268      10.4807      18.7314
     269      10.4184      18.6527
     270      10.5226      18.8877
     271      10.4097      18.8079
     272      10.5400      18.2963
     273      10.4594      19.5825
     274      10.4655      19.3108
     275      10.5350      17.7827
     276      10.5698      17.8387
     277      10.5001      17.3186
     278      10.4789      17.6114
     279      10.5208      19.6469
     280      10.5079      17.6978
     281      10.5413      17.7382
     282      10.5184      17.7697
     283      10.3686      17.2547
     284      10.4172      18.2364
     285      10.4595      17.5176
     286      10.5227      17.5359
     287      10.3767      17.6527
     288      10.4920      19.0067
     289      10.5164      18.0114
     290      10.4355      17.6266
     291      10.4239      18.0015
     292      10.4618      17.9733
     293      10.4660      17.5166
     294      10.5330      18.6146
     295      10.4472      18.6019
     296      10.4798      17.9980
     297      10.5491      17.6179
     298      10.4883      17.7564
     299      10.4312      17.3080
     300      10.4174      17.9153
     301      10.4999      18.7317
     302      10.5443      19.5387
     303      10.5428      18.1229
     304      10.5200      18.7432
     305      10.4750      18.0929
     306      10.3991      18.0528
     307      10.4672      18.3495
     308      10.4633      19.0507
     309      10.4195      19.0453
     310      10.4453      18.6519
     311      10.4020      17.5938
     312      10.4599      19.0107
     313      10.4399      17.7728
     314      10.4510      18.8986
     315      10.4918      19.3943
     316      10.4413      19.0306
     317      10.4099      17.9356
     318      10.4949      18.9974
     319      10.4214      18.0025
     320      10.5132      18.0629
     321      10.5302      17.1064
     322      10.4304      17.3513
     323      10.4352      17.4427
     324      10.5129      18.2339
     325      10.4818      17.1933
     326      10.5656      18.3516
     327      10.4503      18.0241
     328      10.5065      17.7591
     329      10.5076      17.7058
     330      10.4616      16.8490
     331      10.3810      17.4076
     332      10.4405      17.4192
     333      10.4271      16.8211
     334      10.4574      17.6567
     335      10.4408      17.1277
     336      10.5535      18.8970
     337      10.5407      20.0620
     338      10.4689      17.4589
     339      10.4923      18.3108
     340      10.4793      19.0697
     341      10.4173      18.5323
     342      10.5375      18.5082
     343      10.5026      18.5911
     344      10.5681      19.4883
     345      10.4751      17.8363
     346      10.5522      18.3317
     347      10.5861      19.8940
     348      10.5925      18.6401
     349      10.4685      17.3462
     350      10.4773      17.8074
     351      10.4071      18.9358
     352      10.5927      18.7063
     353      10.4371      18.3560
     354      10.5043      19.0833
     355      10.5537      18.3575
     356      10.4435      18.8082
     357      10.4426      18.3048
     358      10.4853      18.7207
     359      10.4459      17.4523
     360      10.5568      18.1696
     361      10.4413      17.1771
     362      10.5247      17.9248
     363      10.5145      17.5126
     364      10.5296      18.7325
     365      10.4626      16.8408
     366      10.4244      17.1630
     367      10.4498      17.4840
     368      10.5370      17.6875
     369      10.4550      16.9670
     370      10.4747      17.3671
     371      10.4562      18.6670
     372      10.5491      17.3101
     373      10.5049      16.5498
     374      10.4954      17.0535
     375      10.4418      17.5556
     376      10.4338      16.9232
     377      10.5239      17.8665
     378      10.5092      17.6586
     379      10.5134      18.3708
     380      10.3958      17.7928
     381      10.4744      19.0479
     382      10.4831      18.2785
     383      10.6222      19.1772
     384      10.4378      18.2528
     385      10.5546      18.6512
     386      10.4550      17.6785
     387      10.5524      18.9500
     388      10.5101      18.3312
     389      10.5484      18.9901
     390      10.5672      19.0007
     391      10.4572      18.6262
     392      10.4794      17.9244
     393      10.4429      18.5876
     394      10.5101      18.9923
     395      10.4179      18.5900
