#Frame          CA.CA   CA.CA[Max]
       1      12.8480      28.5476
       2      12.8926      28.5730
       3      12.7636      28.9976
       4      12.8259      28.2606
       5      12.7941      28.9131
       6      12.8462      28.8240
       7      12.8251      27.9333
       8      12.7403      28.4924
       9      12.8828      29.8118
      10      12.7540      28.0014
      11      12.8413      27.9106
      12      12.6716      28.1187
      13      12.7950      28.1911
      14      12.7749      28.7694
      15      12.8434      28.9097
      16      12.7152      28.9487
      17      12.6225      27.6628
      18      12.8171      28.3486
      19      12.7266      28.7733
      20      12.7610      28.5609
      21      12.8840      29.1737
      22      12.8245      28.5987
      23      12.9184      29.4384
      24      12.8877      28.3241
      25      12.7544      28.0714
      26      12.7394      28.3468
      27      12.7053      26.8071
      28      12.7960      27.9586
      29      12.6496      27.2287
      30      12.8240      28.5782
      31      12.8457      27.9477
      32      12.7961      27.9849
      33      12.7429      27.6533
      34      12.7447      27.5100
      35      12.8906      28.3605
      36      12.8236      27.0144
      37      12.7556      28.1357
      38      12.8147      27.6626
      39      12.7415      28.6176
      40      12.7487      27.7662
      41      12.6388      27.0513
      42      12.8189      26.9458
      43      12.8303      28.5281
      44      12.8323      29.0661
      45      12.7622      28.1255
      46      12.7448      29.0287
      47      12.6924      29.3998
      48      12.7065      27.6028
      49      12.6864      26.9289
      50      12.8500      29.2672
      51      12.8308      28.9007
      52      12.8060      27.9783
      53      12.6842      27.2488
      54      12.7592      26.7566
      55      12.7240      27.0639
      56      12.7561      27.0315
      57      12.6895      27.2245
      58      12.7540      27.3502
      59      12.7945      28.2166
      60      12.6968      27.1819
      61      12.6522      27.7116
      62      12.6873      26.8322
      63      12.7953      27.5614
      64      12.6785      26.7474
      65      12.6859      27.3068
      66      12.6510      27.0701
      67      12.7386      27.7297
      68      12.7986      28.2410
      69      12.9220      27.4320
      70      12.8954      28.1647
      71      12.8352      28.1713
      72      12.8402      28.8521
      73      12.7796      27.7967
      74      12.7999      28.5604
      75      12.5902      27.4193
      76      12.7091      27.1176
      77      12.7495      27.6491
      78      12.9064      28.8268
      79      12.8056      28.1292
      80      12.8448      28.7731
      81      12.8467      28.4838
      82      12.8169      28.4643
      83      12.8309      28.1999
      84      12.7216      28.6887
      85      12.7012      27.4424
      86      12.7480      28.4509
      87      12.6926      26.9490
      88      12.7206      28.5737
      89      12.9003      28.4749
      90      12.8324      29.0181
      91      12.7509      28.0074
      92      12.8662      28.4291
      93      12.8174      28.3903
      94      12.8183      28.4955
      95      12.7097      27.0216
      96      12.7473      27.1546
      97      12.7992      27.1888
      98      12.7824      27.0964
      99      12.7672      26.8304
     100      12.7527      27.0896
     101      12.7718      28.1700
     102      12.7563      27.7662
     103      12.7493      27.7619
     104      12.7836      27.7696
     105      12.7642      27.4078
     106      12.7602      28.0309
     107      12.6359      26.7563
     108      12.7611      27.5685
     109      12.7835      27.7268
     110      12.7425      28.0683
     111      12.7105      28.4056
     112      12.8671      28.4105
     113      12.7192      27.3678
     114      12.7154      27.0127
     115      12.6811      26.8905
     116      12.7032      27.8383
     117      12.9058      29.4226
     118      12.5761      26.2868
     119      12.6378      27.3036
     120      12.8177      28.3107
     121      12.6628      27.1950
     122      12.7065      29.1970
     123      12.5866      28.3365
     124      12.8106      29.4561
     125      12.7717      28.2587
     126      12.6965      27.4175
     127      12.7204      27.7193
     128      12.8195      28.1012
     129      12.6936      28.2697
     130      12.7125      27.8324
     131      12.7202      28.8133
     132      12.6917      28.3329
     133      12.6384      29.5434
     134      12.7477      27.6236
     135      12.6853      29.6788
     136      12.8586      28.7660
     137      12.8251      28.0844
     138      12.8092      29.0549
     139      12.8305      28.2750
     140      12.6484      27.8190
     141      12.6985      28.0100
     142      12.7552      29.2332
     143      12.7084      28.6897
     144      12.6741      28.0387
     145      12.8234      28.8149
     146      12.9101      28.9165
     147      12.6581      26.9376
     148      12.7727      28.1030
     149      12.7621      29.0046
     150      12.8131      28.5656
     151      12.7380      27.7116
     152      12.7690      28.2715
     153      12.8147      28.1072
     154      12.7575      28.6404
