#Frame          CA.CA
       1   26887.6957
       2   27552.2081
       3   27057.5461
       4   26716.4112
       5   26711.1754
       6   26890.2107
       7   27282.6078
       8   26994.8110
       9   27876.3164
      10   27215.1110
      11   28081.2678
      12   27836.2542
      13   26833.9681
      14   27309.0876
      15   27290.9764
      16   27453.8634
      17   27323.5360
      18   27195.6196
      19   27440.1532
      20   27505.6050
      21   26574.6224
      22   27607.8438
      23   27276.0703
      24   27061.8825
      25   27352.8302
