#Frame          CA.CA   CA.CA[Max]
       1      12.3268      23.7038
       2      12.2511      22.7888
       3      12.3020      23.6715
       4      12.2810      21.2149
       5      12.2824      20.8313
       6      12.2690      21.3369
       7      12.2524      20.8446
       8      12.2048      19.7781
       9      12.2811      20.9278
      10      12.2884      20.5508
      11      12.2791      21.2092
      12      12.3451      20.1422
      13      12.2162      20.2774
      14      12.2829      21.1117
      15      12.3132      20.6580
      16      12.2612      21.6831
      17      12.1797      20.6647
      18      12.1852      20.2308
      19      12.2083      20.1325
      20      12.2545      21.1218
      21      12.2723      20.5594
      22      12.2373      20.2065
      23      12.3241      20.7383
      24      12.2869      21.0858
      25      12.2755      20.9054
      26      12.2231      20.5001
      27      12.2251      21.2059
      28      12.2111      21.2594
      29      12.3133      20.5918
      30      12.2109      20.3780
      31      12.3351      21.2204
      32      12.2639      21.3029
      33      12.3487      20.7282
      34      12.3409      21.4273
      35      12.3070      21.7997
      36      12.1727      21.3031
      37      12.2028      21.2508
      38      12.2356      20.5040
      39      12.3026      22.0480
      40      12.2235      21.9788
      41      12.2695      22.4880
      42      12.2550      22.4021
      43      12.2681      21.8052
      44      12.2340      20.7371
      45      12.2617      21.5297
      46      12.3600      22.0195
      47      12.1852      19.6934
      48      12.3085      22.1349
      49      12.2266      20.1439
      50      12.2485      20.4014
      51      12.2591      20.9078
      52      12.2277      20.3246
      53      12.2198      20.0969
      54      12.2517      21.4219
      55      12.2767      20.5777
      56      12.2593      20.8397
      57      12.2724      21.6096
      58      12.2363      21.1891
      59      12.1907      21.3785
      60      12.2650      20.8477
      61      12.2452      21.2898
      62      12.1861      19.8462
      63      12.1811      20.0132
      64      12.2402      19.8368
      65      12.2985      20.7404
      66      12.2198      20.1534
      67      12.2740      21.3675
      68      12.2660      21.1904
      69      12.1503      21.0316
      70      12.2535      20.0944
      71      12.2381      20.7653
      72      12.2575      20.3854
      73      12.2289      21.2183
      74      12.2144      20.3393
      75      12.2779      21.5054
      76      12.2810      19.9950
      77      12.2530      20.2019
      78      12.2568      20.6579
      79      12.3057      21.6466
      80      12.1488      20.2552
      81      12.2164      20.0397
      82      12.1264      21.1748
      83      12.2387      20.5486
      84      12.2272      20.1649
      85      12.2921      20.8091
      86      12.2166      20.9479
      87      12.2464      22.0392
      88      12.2164      21.5759
      89      12.2523      21.4034
      90      12.3168      21.7611
      91      12.2561      20.5307
      92      12.2233      20.4351
      93      12.1680      20.2409
      94      12.2109      20.0879
      95      12.1658      20.6862
      96      12.2228      20.7670
      97      12.2041      19.5277
      98      12.1642      19.7930
      99      12.2026      19.8631
     100      12.1605      20.6444
     101      12.1592      19.8651
     102      12.1541      20.1827
     103      12.1742      20.1044
