#Frame          CA.CA   CA.CA[Max]
       1      11.3067      22.3515
       2      11.3193      22.0116
       3      11.4401      21.8804
       4      11.3824      22.3381
       5      11.4084      21.4799
       6      11.3971      22.1856
       7      11.2521      20.7406
       8      11.2877      20.5442
       9      11.2958      21.9022
      10      11.3441      21.5547
      11      11.2208      21.0172
      12      11.2533      21.6992
      13      11.2741      21.3545
      14      11.2117      21.2175
      15      11.3364      20.8579
      16      11.3274      22.0016
      17      11.4329      22.3803
      18      11.4527      22.2234
      19      11.3037      21.7217
      20      11.4046      22.0634
      21      11.4673      21.9559
      22      11.3385      21.2693
      23      11.2990      22.7866
      24      11.4181      21.4912
      25      11.3820      22.3356
      26      11.3990      22.6391
      27      11.3857      21.5823
      28      11.4193      21.6085
      29      11.2786      21.6283
      30      11.3649      21.7600
      31      11.4015      22.0603
      32      11.2784      21.8496
      33      11.2314      20.9586
      34      11.3570      21.7056
      35      11.3161      22.0168
      36      11.3531      21.6843
      37      11.3043      22.4992
      38      11.2982      22.0517
      39      11.3003      22.0910
      40      11.3298      22.2982
      41      11.2633      21.9904
      42      11.3482      22.7015
      43      11.3168      21.6129
      44      11.4807      21.5665
      45      11.2756      22.5927
      46      11.3874      21.5505
      47      11.2312      21.4681
      48      11.2359      22.2673
      49      11.2393      22.7973
      50      11.2478      22.1268
      51      11.3267      22.6353
      52      11.3350      22.9872
      53      11.3848      22.8124
      54      11.3773      23.5153
      55      11.3337      21.7035
      56      11.3920      22.0512
      57      11.3787      22.4842
      58      11.3095      21.9301
      59      11.3123      22.4722
      60      11.2701      21.1788
      61      11.2541      21.6822
      62      11.3220      22.9563
      63      11.1849      22.6781
      64      11.3259      22.5989
      65      11.1585      21.0142
      66      11.3290      23.0915
      67      11.2794      21.8184
      68      11.2863      20.7817
      69      11.2637      21.8813
      70      11.2085      21.2099
      71      11.2859      22.3505
      72      11.2197      21.5473
      73      11.1880      22.2086
      74      11.3120      22.5727
      75      11.2336      22.4897
      76      11.3005      22.3199
      77      11.3836      21.9992
      78      11.3672      21.5871
      79      11.3501      21.3886
      80      11.2237      21.8649
      81      11.2312      21.6943
      82      11.3473      22.2491
      83      11.3215      21.9151
      84      11.3556      23.1995
      85      11.2869      21.3647
      86      11.3753      22.8085
      87      11.3475      22.4188
      88      11.3795      22.0437
      89      11.4437      21.8880
      90      11.4118      21.0522
      91      11.4351      22.7239
      92      11.2785      22.1375
      93      11.2910      21.8312
      94      11.3627      22.4191
      95      11.3282      23.0729
      96      11.3507      21.5083
      97      11.2833      21.6238
      98      11.3048      20.9804
      99      11.3546      23.2831
     100      11.2499      22.3774
     101      11.3500      23.0647
     102      11.3275      22.1802
     103      11.3924      22.7371
     104      11.4138      21.6638
     105      11.3603      21.7866
     106      11.4053      22.4161
     107      11.3334      22.0175
     108      11.3886      22.2948
     109      11.3895      21.9125
     110      11.4292      21.7277
     111      11.3933      22.1818
     112      11.3917      22.4008
     113      11.3060      21.4393
     114      11.3678      21.2470
     115      11.3896      22.5854
     116      11.2867      21.3293
     117      11.2966      21.9701
     118      11.3071      20.8070
     119      11.3076      21.5225
     120      11.2596      22.4402
     121      11.3689      22.1119
     122      11.3523      23.0573
     123      11.3568      22.3443
     124      11.2925      22.5595
     125      11.3125      22.5054
     126      11.3529      22.3396
     127      11.4511      22.8317
     128      11.3501      20.9743
     129      11.3330      21.4829
     130      11.3583      22.3252
     131      11.2835      22.5431
     132      11.4549      22.8213
     133      11.4225      22.5481
     134      11.5024      20.9722
     135      11.3593      22.4196
     136      11.4009      22.6302
     137      11.3387      21.6507
     138      11.3129      22.2530
     139      11.2233      21.7895
     140      11.3438      21.5376
     141      11.4189      22.5294
     142      11.3986      21.9134
     143      11.3816      22.6669
     144      11.3981      22.8940
     145      11.3383      22.6449
     146      11.3954      22.6322
     147      11.4221      22.8614
     148      11.4480      21.8530
     149      11.4194      22.1946
     150      11.4852      21.3948
     151      11.3963      22.0876
     152      11.5236      22.0879
     153      11.4039      21.9842
     154      11.3217      21.6485
     155      11.4031      22.4117
     156      11.3825      22.3834
     157      11.3477      22.1615
     158      11.4181      21.6851
     159      11.4626      22.4585
     160      11.3256      21.0516
     161      11.4504      22.6118
     162      11.2881      22.1550
     163      11.3857      22.8324
     164      11.3828      21.6420
     165      11.3235      21.0676
     166      11.4115      22.9331
     167      11.3977      22.3268
     168      11.4024      21.5256
     169      11.3137      22.0890
     170      11.2536      21.6126
     171      11.3940      22.4003
     172      11.3161      22.3995
     173      11.4530      23.2293
     174      11.3193      22.1093
     175      11.4163      23.3003
     176      11.2997      21.9443
     177      11.2354      20.7138
     178      11.2955      22.4785
     179      11.2747      23.5500
     180      11.2567      23.4489
     181      11.2329      21.4720
     182      11.2929      21.3588
     183      11.3278      22.0114
     184      11.3429      22.9677
     185      11.4222      23.0143
     186      11.3204      22.7596
     187      11.3239      22.5140
     188      11.4010      22.8241
     189      11.4007      22.5419
     190      11.3622      22.0306
     191      11.4347      21.5631
     192      11.3149      21.4369
     193      11.3740      22.0504
     194      11.3100      21.8032
     195      11.3235      21.6874
     196      11.2896      22.2247
     197      11.2471      21.6413
     198      11.3497      22.7492
     199      11.2434      21.4843
     200      11.2719      21.5065
     201      11.2966      20.7415
     202      11.3568      22.5023
     203      11.3388      22.3279
     204      11.2303      21.9668
     205      11.3180      22.4800
     206      11.2842      22.8700
     207      11.2588      22.0408
     208      11.3032      22.5243
     209      11.3968      22.6609
     210      11.3918      22.1932
     211      11.3406      21.6638
     212      11.2935      22.4419
     213      11.3711      22.5166
     214      11.3298      22.6907
     215      11.3894      21.4893
     216      11.2403      22.3853
     217      11.3401      21.9392
     218      11.3437      21.8960
     219      11.4116      22.7476
     220      11.3663      22.7366
     221      11.4074      22.0422
     222      11.3203      21.7115
     223      11.3832      22.2362
     224      11.3747      23.0982
     225      11.3749      23.0393
     226      11.2761      22.3259
     227      11.1784      20.7311
     228      11.3715      22.1603
     229      11.2956      22.5337
     230      11.3175      21.1072
     231      11.4415      22.5057
     232      11.3222      21.7358
     233      11.3662      22.5050
     234      11.2275      21.2991
     235      11.2636      22.1718
     236      11.4449      23.3775
     237      11.3120      22.4059
     238      11.3523      22.5730
     239      11.3641      21.4999
     240      11.3609      23.0158
     241      11.3650      22.6578
     242      11.3033      23.0487
     243      11.3414      22.8513
     244      11.2971      22.6284
     245      11.3307      22.4414
     246      11.2814      21.8600
     247      11.3007      21.3112
     248      11.2755      21.6131
     249      11.3682      22.6316
     250      11.3130      20.8748
     251      11.3970      21.9383
     252      11.4919      23.0035
     253      11.1804      23.0112
     254      11.3314      22.3634
     255      11.3166      22.4871
     256      11.2346      20.5546
     257      11.3991      22.4937
     258      11.3098      21.9244
     259      11.2879      21.1023
     260      11.3890      21.6553
     261      11.2320      20.6022
     262      11.3023      20.7822
     263      11.2782      20.8722
     264      11.2560      20.1871
     265      11.2480      20.5995
     266      11.2634      20.2780
     267      11.3313      21.1074
     268      11.3044      20.2620
     269      11.3209      21.5788
     270      11.3661      21.2819
     271      11.3135      21.4729
     272      11.4366      20.9130
     273      11.3192      20.4130
     274      11.3908      20.6012
     275      11.4060      20.1803
     276      11.3465      21.4102
     277      11.3301      20.6151
     278      11.2893      21.7173
     279      11.2570      21.0654
     280      11.2580      20.3205
     281      11.3947      20.6738
     282      11.4099      20.0258
     283      11.3161      21.7789
     284      11.3752      21.7696
     285      11.3123      21.3312
     286      11.3999      20.3675
     287      11.4142      21.8255
     288      11.4064      20.6885
     289      11.4666      20.5731
     290      11.3761      21.1235
     291      11.4237      20.5348
     292      11.4711      21.2603
     293      11.2694      20.7255
     294      11.2651      20.2553
     295      11.3105      21.2618
     296      11.2360      20.8098
     297      11.4077      20.8343
     298      11.2846      21.1581
     299      11.3603      20.7384
     300      11.2607      20.3510
     301      11.2959      22.1407
     302      11.2891      21.3991
     303      11.2671      21.1923
     304      11.3292      21.3215
     305      11.2814      21.9139
     306      11.1955      21.0370
     307      11.2112      20.1979
     308      11.3349      20.8267
     309      11.3932      21.7965
     310      11.3490      20.8530
     311      11.3736      20.4463
     312      11.3077      20.6512
     313      11.2509      20.4442
     314      11.2587      20.2946
     315      11.3094      20.6316
     316      11.2646      20.5970
     317      11.2486      21.0437
     318      11.2589      21.6112
     319      11.2772      20.4507
     320      11.2543      20.5698
     321      11.3094      20.6449
     322      11.2308      20.1505
     323      11.2624      21.6175
     324      11.2380      22.0155
     325      11.2837      21.5392
     326      11.2665      21.8801
     327      11.2170      20.0513
     328      11.2131      20.2071
     329      11.2398      20.5792
     330      11.2533      21.3792
     331      11.3116      20.2535
     332      11.1772      20.2446
     333      11.2741      20.7614
     334      11.2632      20.8644
     335      11.2248      21.2746
     336      11.2299      20.5828
     337      11.2106      19.8605
     338      11.2896      20.7285
     339      11.2295      20.5916
     340      11.1669      19.9027
     341      11.2181      20.9316
     342      11.2551      19.9240
     343      11.3690      21.1966
     344      11.2132      20.7514
     345      11.2795      20.5325
     346      11.2103      19.8640
     347      11.2279      19.9897
     348      11.1824      20.7660
     349      11.2643      20.5191
     350      11.2135      20.7377
     351      11.2131      21.0903
     352      11.2297      19.9486
     353      11.2629      21.2752
     354      11.3046      20.7463
     355      11.2763      20.8895
     356      11.2750      21.2191
     357      11.3046      20.5834
     358      11.3324      20.7313
     359      11.3199      21.9518
     360      11.3170      21.8559
     361      11.3500      21.9683
     362      11.2468      20.6025
     363      11.3392      21.7184
     364      11.2896      21.5716
     365      11.3460      20.5816
     366      11.1715      20.1266
     367      11.3137      21.2436
     368      11.1565      20.7342
     369      11.3082      20.9038
     370      11.2796      21.6050
     371      11.2173      20.8550
     372      11.2176      21.3882
     373      11.1946      22.0913
     374      11.2137      22.0462
     375      11.2881      23.0080
     376      11.2758      22.5045
     377      11.2759      23.3102
     378      11.2845      22.7403
     379      11.2454      22.8884
     380      11.2159      21.8118
     381      11.2164      21.5805
     382      11.2562      22.6961
     383      11.2883      22.3884
     384      11.2335      21.4084
     385      11.2534      21.4777
     386      11.3695      22.7294
     387      11.3068      22.1980
     388      11.2722      21.6557
     389      11.2377      22.2719
     390      11.2917      21.8882
     391      11.1753      21.2688
     392      11.3097      22.6926
     393      11.2379      22.6607
     394      11.1959      22.9135
     395      11.2124      22.3590
     396      11.2918      22.9436
     397      11.3056      23.3491
     398      11.2903      23.0683
     399      11.2601      22.4969
     400      11.2717      21.8543
     401      11.3088      22.4365
