#Frame          CA.CA   CA.CA[Max]
       1      10.6027      20.9438
       2      10.4956      19.7262
       3      10.5364      19.5291
       4      10.5789      20.1165
       5      10.4957      20.3896
       6      10.6850      20.9519
       7      10.6655      21.0378
       8      10.5401      19.0699
       9      10.6463      20.7873
      10      10.5594      20.2884
      11      10.5035      20.0193
      12      10.5685      19.4861
      13      10.5958      20.6323
      14      10.6791      20.5017
      15      10.5397      20.3194
      16      10.4960      20.4997
      17      10.5242      20.5586
      18      10.5596      20.3277
      19      10.6211      21.0404
      20      10.5061      20.6433
      21      10.5797      20.0865
      22      10.5790      19.8395
      23      10.5410      19.7358
      24      10.4945      20.1154
      25      10.6391      20.0108
      26      10.4467      20.0668
      27      10.5205      19.8531
      28      10.5363      20.3835
      29      10.5994      20.0931
      30      10.4346      19.6667
      31      10.4607      20.9229
      32      10.3997      19.9292
      33      10.5525      20.3718
      34      10.6007      20.2606
      35      10.5661      19.5347
      36      10.5019      19.2439
      37      10.6532      19.8472
      38      10.5338      20.8183
      39      10.5132      20.8199
      40      10.5146      21.2132
      41      10.5337      20.9751
      42      10.4254      20.1008
      43      10.4141      19.7427
      44      10.4547      19.7780
      45      10.5517      20.4226
      46      10.3710      19.9781
      47      10.4600      20.5552
      48      10.5367      19.5098
      49      10.4599      21.3431
      50      10.4852      20.1638
      51      10.4804      21.3290
      52      10.5604      20.7748
      53      10.5708      21.3538
      54      10.4805      21.3160
      55      10.5983      21.2888
      56      10.5745      21.5317
      57      10.6195      22.1170
      58      10.5237      20.2905
      59      10.4545      19.6982
      60      10.3711      20.5072
      61      10.5184      21.1413
      62      10.4609      20.5472
      63      10.4108      20.3139
      64      10.6052      20.4842
      65      10.6035      21.5459
      66      10.6290      21.4499
      67      10.5853      21.0013
      68      10.6111      21.6845
      69      10.6107      20.1065
      70      10.6967      21.5144
      71      10.7142      22.0633
      72      10.6825      21.4361
      73      10.5908      19.7150
      74      10.5606      20.2733
      75      10.5714      20.8991
      76      10.6375      20.5673
      77      10.6050      19.4493
      78      10.5960      20.8733
      79      10.5970      19.6020
      80      10.5873      20.6963
      81      10.6308      19.8373
      82      10.6066      20.3850
      83      10.5239      20.6363
      84      10.7105      20.4407
      85      10.6105      22.1871
      86      10.6358      21.0526
      87      10.3821      19.3746
      88      10.3231      19.7669
      89      10.4799      21.3203
      90      10.5300      19.9021
      91      10.4981      19.8425
      92      10.4648      20.8803
      93      10.4519      19.6262
      94      10.2735      20.8250
      95      10.5881      20.7009
      96      10.4739      20.2923
      97      10.4299      19.5337
      98      10.6119      20.6459
      99      10.5129      20.0938
     100      10.5126      20.4006
     101      10.5753      20.9439
     102      10.5798      20.9937
     103      10.5021      21.0716
     104      10.4815      21.2716
     105      10.3482      19.1179
     106      10.5302      21.0415
     107      10.5146      20.0984
     108      10.5170      20.9684
     109      10.5222      20.5174
     110      10.4078      20.4875
     111      10.4516      19.6724
     112      10.4588      19.2179
     113      10.4635      21.2594
     114      10.5455      20.1624
     115      10.4748      20.9142
     116      10.5127      19.8714
     117      10.4786      21.2482
     118      10.4884      19.1880
     119      10.4548      20.4478
     120      10.4834      20.4939
     121      10.3227      19.2592
     122      10.5845      20.8028
     123      10.5921      20.7259
     124      10.3374      19.0234
     125      10.4138      20.7224
     126      10.5130      21.4846
     127      10.5057      20.9836
     128      10.4670      21.6870
     129      10.5745      20.5606
     130      10.5292      20.8116
     131      10.4329      19.8556
     132      10.5635      20.0177
     133      10.5523      20.7942
     134      10.5729      20.6599
     135      10.5373      21.0044
     136      10.5390      20.7690
     137      10.4933      20.2510
     138      10.5255      20.1711
     139      10.6186      20.2455
     140      10.6936      20.8867
     141      10.6353      20.4369
     142      10.6952      20.1965
     143      10.6178      19.8939
     144      10.5801      21.0954
     145      10.5492      20.4805
     146      10.4995      20.5610
     147      10.6300      20.1139
     148      10.4654      20.6095
     149      10.4820      21.4287
     150      10.4727      21.2682
     151      10.4680      19.5649
     152      10.7021      20.8404
     153      10.5433      20.4687
     154      10.5954      20.7239
     155      10.5186      20.5522
     156      10.5772      21.2330
     157      10.5631      21.5381
     158      10.6886      20.3301
     159      10.6512      20.7153
     160      10.7187      20.9017
     161      10.6076      20.5168
     162      10.6426      20.1658
     163      10.5670      20.4071
     164      10.6343      20.7357
     165      10.5166      20.5584
     166      10.4257      20.9087
     167      10.5817      21.1362
     168      10.4363      19.3636
     169      10.5150      20.5246
     170      10.3669      20.2431
     171      10.5693      20.3430
     172      10.7562      20.8591
     173      10.5860      20.3275
     174      10.6110      20.6533
     175      10.3586      19.4077
     176      10.5541      20.8637
     177      10.5942      20.3009
     178      10.5690      20.8473
     179      10.5054      20.1675
     180      10.6267      20.3628
     181      10.6443      19.5674
     182      10.6051      20.9407
     183      10.6590      20.6463
     184      10.6587      21.4825
     185      10.6522      19.1630
     186      10.7452      20.6511
     187      10.6840      20.4991
     188      10.6246      20.7894
     189      10.7013      20.4940
     190      10.7348      20.7822
     191      10.5961      20.3360
     192      10.5617      21.1816
     193      10.6081      21.6142
     194      10.4793      20.0286
     195      10.5118      20.3405
     196      10.4645      20.7697
     197      10.5591      20.0328
     198      10.4683      19.5031
     199      10.6609      21.5835
     200      10.5309      19.4784
     201      10.5336      20.2609
     202      10.6669      20.3262
     203      10.6197      20.5470
     204      10.5477      20.3403
     205      10.5324      19.9078
     206      10.5433      19.9977
     207      10.6217      21.9665
     208      10.5867      20.5774
     209      10.5041      20.6005
     210      10.6324      20.3681
     211      10.4438      19.4754
     212      10.5826      20.1306
     213      10.4917      19.7682
     214      10.5861      20.8138
     215      10.4804      19.5352
     216      10.5624      20.8854
     217      10.3642      19.8741
     218      10.5434      19.9761
     219      10.3804      20.7096
     220      10.3974      19.5955
     221      10.4921      20.9838
     222      10.5142      20.4041
     223      10.4203      20.6810
     224      10.6049      20.8395
     225      10.4627      19.8522
     226      10.4302      20.2777
     227      10.4594      19.7752
     228      10.4480      20.3383
     229      10.4969      21.2637
     230      10.4100      20.4692
     231      10.4403      20.7054
     232      10.5001      21.0107
     233      10.4843      21.3831
     234      10.4745      21.1638
     235      10.4971      20.0517
     236      10.4350      20.8705
     237      10.3772      19.3930
     238      10.3594      19.7870
     239      10.4071      20.0080
     240      10.4700      20.5527
     241      10.4930      20.2949
     242      10.3815      19.9340
     243      10.4853      19.7611
     244      10.4471      20.5877
     245      10.4923      20.5575
     246      10.5147      19.2961
     247      10.4901      19.6459
     248      10.5136      20.2142
     249      10.5021      22.1598
     250      10.5103      19.8404
     251      10.5603      19.6691
     252      10.4209      21.6609
     253      10.4639      20.7061
     254      10.6860      21.8121
     255      10.6035      20.6594
     256      10.5979      21.4777
     257      10.6496      20.2285
     258      10.5694      20.3452
     259      10.6350      20.1811
     260      10.6719      20.6013
     261      10.5859      20.3391
     262      10.6208      20.0904
     263      10.5598      20.4498
     264      10.5716      19.9711
     265      10.4697      20.3451
     266      10.6517      21.7144
     267      10.4783      20.7063
     268      10.6101      20.1774
     269      10.5842      20.8687
     270      10.4656      20.5187
     271      10.5224      20.7215
     272      10.4401      20.9792
     273      10.3476      19.2604
     274      10.4134      20.2589
     275      10.5014      21.3774
     276      10.3638      19.8409
     277      10.3941      20.8917
     278      10.4652      20.2364
     279      10.4464      20.6422
     280      10.4693      20.2856
     281      10.4927      20.6080
     282      10.4989      21.4875
     283      10.6136      20.4269
     284      10.4558      20.9817
     285      10.4535      19.7120
     286      10.6445      20.0175
     287      10.5271      21.1759
     288      10.5060      21.2199
     289      10.4444      21.3451
     290      10.4997      19.8092
     291      10.5576      20.9114
     292      10.5239      21.4535
     293      10.4902      20.4180
     294      10.5061      21.0793
     295      10.6570      21.3091
     296      10.5808      20.8109
     297      10.6044      20.2041
     298      10.5235      20.1272
     299      10.4271      21.5815
     300      10.6507      19.2629
     301      10.6222      20.4063
     302      10.5020      21.3607
     303      10.5177      21.5475
     304      10.3702      20.0817
     305      10.5452      21.2310
     306      10.4491      19.8624
     307      10.4932      20.8435
     308      10.5525      19.8765
     309      10.5394      21.2771
     310      10.5405      19.3011
     311      10.4355      19.0656
     312      10.4188      18.8028
     313      10.6314      20.5164
     314      10.5820      20.4290
     315      10.5663      19.4597
     316      10.5537      20.9332
     317      10.5027      19.9934
     318      10.4526      20.6496
     319      10.7393      21.8580
     320      10.5661      20.0227
     321      10.6220      21.0893
     322      10.6205      21.6719
     323      10.5948      19.2421
     324      10.6150      20.5019
     325      10.5668      20.3365
     326      10.6981      20.7254
     327      10.5263      21.4827
     328      10.6252      20.5518
     329      10.6722      20.8882
     330      10.5845      19.7658
     331      10.6302      21.2043
     332      10.6807      21.5957
     333      10.5725      20.6206
     334      10.5544      20.0018
     335      10.5934      20.8396
     336      10.5703      19.6840
     337      10.6284      21.6738
     338      10.5619      20.1851
     339      10.5116      20.6802
     340      10.5358      20.7474
     341      10.6497      21.2608
     342      10.6591      21.6423
     343      10.6706      20.3372
     344      10.5578      21.1424
     345      10.4552      19.1891
     346      10.6466      20.7924
     347      10.4707      20.5266
     348      10.5459      20.4519
     349      10.4026      19.9112
     350      10.5534      21.1861
     351      10.5420      20.2091
     352      10.4863      19.8605
     353      10.5308      21.1499
     354      10.5202      19.7280
     355      10.5667      20.9050
     356      10.5494      19.9323
     357      10.5355      20.1812
     358      10.4132      20.1886
     359      10.4718      20.0140
     360      10.4848      20.7778
     361      10.5176      20.3808
     362      10.4751      19.4481
     363      10.5932      19.9880
     364      10.5558      21.2022
     365      10.5158      19.2634
     366      10.4748      19.9593
     367      10.6420      20.2742
     368      10.4826      19.5858
     369      10.6475      20.5351
     370      10.6958      20.6232
     371      10.5216      19.5997
     372      10.5996      20.9274
     373      10.6799      20.9300
     374      10.5876      20.6323
     375      10.6757      21.1427
     376      10.5672      20.5953
     377      10.5768      20.4810
     378      10.6275      20.5437
     379      10.5208      19.3729
     380      10.5367      20.2914
     381      10.7201      19.9208
     382      10.6499      20.7331
     383      10.6480      19.7731
     384      10.7049      19.8415
     385      10.5903      20.8518
     386      10.5807      19.7434
     387      10.5840      20.0086
     388      10.6274      19.6169
     389      10.5652      21.0092
     390      10.5576      20.7126
     391      10.6128      19.7577
     392      10.5227      20.0041
     393      10.4103      20.3199
     394      10.5472      20.8199
     395      10.5359      21.6001
     396      10.5540      20.4419
     397      10.3153      19.5173
     398      10.4640      20.6221
     399      10.5202      21.1764
     400      10.5588      21.5151
     401      10.4373      20.0969
     402      10.4231      20.1328
     403      10.6361      21.9065
     404      10.7227      20.9422
     405      10.3851      20.2761
     406      10.4859      20.4086
     407      10.4800      20.8806
     408      10.5030      20.7409
     409      10.5099      20.5671
     410      10.4283      20.5697
     411      10.5787      20.1145
     412      10.4595      19.8764
     413      10.3636      20.4268
     414      10.4912      20.3391
     415      10.4919      19.2679
     416      10.5890      20.7679
     417      10.5764      21.0247
     418      10.6314      19.4441
     419      10.5841      19.5315
     420      10.5976      20.2246
     421      10.6701      21.0627
     422      10.5993      20.5399
     423      10.6980      20.4639
     424      10.5768      20.1097
     425      10.6696      20.3926
     426      10.5750      19.7468
     427      10.6228      21.4021
     428      10.6889      20.8752
     429      10.6551      20.8842
     430      10.5182      20.3693
     431      10.6495      19.6383
     432      10.6812      21.1384
     433      10.6986      20.9823
     434      10.4827      20.4769
     435      10.6588      20.9465
     436      10.8435      20.5519
     437      10.6059      20.9730
     438      10.4581      20.3851
     439      10.5915      20.5305
     440      10.6616      20.9906
     441      10.5940      20.4438
     442      10.6083      21.0123
     443      10.6489      20.7970
     444      10.5187      20.1775
     445      10.6584      20.9512
     446      10.4118      20.5891
     447      10.4346      19.2194
     448      10.5288      20.3918
     449      10.5025      20.5932
     450      10.6223      20.3264
     451      10.6573      21.2956
     452      10.4667      21.2409
     453      10.6644      20.3551
     454      10.7143      21.2684
     455      10.5385      20.6504
     456      10.6687      19.7446
     457      10.4609      20.5226
     458      10.6059      20.8701
     459      10.5206      20.8548
     460      10.5360      20.9877
     461      10.4153      20.3724
     462      10.5665      20.8507
     463      10.5397      20.2928
     464      10.4746      20.7664
     465      10.3858      20.8501
     466      10.4764      20.7304
     467      10.4740      20.5468
     468      10.6784      20.5065
     469      10.6699      20.4755
     470      10.7028      21.3097
     471      10.5614      20.5512
     472      10.5787      20.7554
     473      10.4483      19.7334
     474      10.4973      20.4179
     475      10.5502      20.1029
     476      10.4691      19.8781
     477      10.4059      19.2360
     478      10.4521      19.7516
     479      10.5099      19.9544
     480      10.4037      20.1516
     481      10.5505      20.5883
     482      10.5460      20.7647
     483      10.7012      21.1735
     484      10.5561      20.0678
     485      10.5996      20.7126
     486      10.5943      20.0931
     487      10.4595      20.4905
     488      10.5499      20.2374
     489      10.5611      21.2945
     490      10.4213      20.3598
     491      10.4819      21.1744
     492      10.5700      20.2523
     493      10.5880      20.3273
     494      10.5025      20.3652
     495      10.6358      21.0018
     496      10.5750      20.3404
     497      10.7294      20.8069
     498      10.6539      21.7380
     499      10.5924      20.0356
     500      10.4803      19.6729
