#Frame          CA.CA   CA.CA[Max]
       1      13.1881      23.5338
       2      13.2612      24.6043
       3      13.2905      25.1384
       4      13.2097      23.7085
       5      13.2021      24.7405
       6      13.2818      24.5523
       7      13.2026      23.6420
       8      13.2442      24.0179
       9      13.2412      25.4260
      10      13.2079      23.7535
      11      13.2958      23.2337
      12      13.1075      22.6596
      13      13.2674      23.3884
      14      13.1724      23.9871
      15      13.2605      24.2800
      16      13.2302      24.2304
      17      13.2327      24.4172
      18      13.2100      25.0687
      19      13.3209      24.1720
      20      13.2517      23.6572
      21      13.2937      24.2565
      22      13.3285      24.4667
      23      13.2640      23.5529
      24      13.3137      24.3682
      25      13.3016      24.1806
      26      13.2788      24.3499
      27      13.2479      23.7968
      28      13.2023      23.8241
      29      13.2381      23.8743
      30      13.2741      23.9327
      31      13.2617      24.4636
      32      13.3163      24.6438
      33      13.1929      23.4505
      34      13.2168      23.9573
      35      13.2707      23.6978
      36      13.2844      25.8636
      37      13.2736      24.1071
      38      13.3185      24.3181
      39      13.2312      24.0784
      40      13.3201      24.1679
      41      13.3278      23.8585
      42      13.2939      24.5383
      43      13.2479      24.7990
      44      13.2022      25.0039
      45      13.2556      24.5261
      46      13.1899      23.0037
      47      13.2068      23.3941
      48      13.3424      24.3698
      49      13.2956      23.7969
      50      13.2719      23.9662
      51      13.1642      24.4586
      52      13.1909      23.5158
      53      13.2313      25.0513
      54      13.2717      24.1346
      55      13.2793      24.6957
      56      13.1595      23.6470
      57      13.1974      24.1329
      58      13.2429      23.9710
      59      13.3356      23.4624
      60      13.3619      24.5976
      61      13.3001      24.4953
      62      13.2321      23.2283
      63      13.2494      22.8931
      64      13.2749      23.2182
      65      13.2703      23.4566
      66      13.2415      23.7877
      67      13.2633      23.4560
      68      13.2519      24.2397
      69      13.2180      24.3477
      70      13.2840      24.6037
      71      13.2777      24.1369
      72      13.2224      24.2947
      73      13.2943      24.0298
      74      13.2153      24.4191
      75      13.2552      25.0816
      76      13.1590      23.7952
      77      13.2604      24.9172
      78      13.1333      22.6960
      79      13.1605      23.8063
      80      13.2289      24.7628
      81      13.3522      24.5422
      82      13.3016      23.9401
      83      13.2929      24.4411
      84      13.2787      23.7604
      85      13.2486      23.5029
      86      13.2849      24.0449
      87      13.3095      24.5801
      88      13.2238      23.6417
      89      13.2095      23.7938
      90      13.2391      23.7442
      91      13.2585      25.1091
      92      13.2390      24.0071
      93      13.3851      24.7090
      94      13.2077      23.3122
      95      13.2042      23.5037
      96      13.3163      24.7622
      97      13.3304      25.1422
      98      13.3070      25.0502
      99      13.2367      24.7941
     100      13.2129      22.7827
     101      13.2622      23.3477
     102      13.2711      22.9173
     103      13.2788      23.7205
     104      13.3122      23.6948
     105      13.2377      23.3714
     106      13.2599      24.0775
     107      13.2696      24.2417
     108      13.3019      22.8993
     109      13.3390      24.0827
     110      13.2763      24.0468
     111      13.2011      23.5672
     112      13.2051      23.8282
     113      13.2819      24.6440
     114      13.2704      23.6202
     115      13.2210      24.3440
     116      13.2420      23.8027
     117      13.1155      22.6318
     118      13.1151      23.2639
     119      13.1586      24.1336
     120      13.1804      23.2809
     121      13.2167      23.8929
     122      13.2536      23.2684
     123      13.2595      22.6977
     124      13.2429      23.5181
     125      13.2473      23.7412
     126      13.2520      23.6802
     127      13.2915      24.6044
     128      13.2469      24.0669
     129      13.2489      23.7387
     130      13.2399      23.6230
     131      13.2971      24.5147
     132      13.2034      24.2964
     133      13.2526      24.1726
     134      13.2202      23.7661
     135      13.3197      24.6472
     136      13.3086      24.3884
     137      13.3156      24.2524
     138      13.2074      23.3113
     139      13.1909      23.3308
     140      13.2901      23.9234
     141      13.2036      22.6800
     142      13.2320      24.0779
     143      13.1806      23.5779
     144      13.2209      24.5389
     145      13.2789      24.1199
     146      13.1452      23.7496
     147      13.2643      24.4034
     148      13.2408      22.9391
     149      13.2183      23.5646
     150      13.2865      24.1889
     151      13.1273      22.7941
     152      13.2233      23.5627
     153      13.2447      23.4058
     154      13.3144      24.5419
     155      13.3338      24.0719
     156      13.3004      25.0525
     157      13.3376      24.3175
     158      13.2334      24.4423
     159      13.2608      24.4203
     160      13.4045      25.5607
     161      13.3018      24.2977
     162      13.1854      24.1250
     163      13.1954      24.5755
     164      13.1668      24.3871
     165      13.3247      23.9653
     166      13.1772      23.4335
     167      13.2151      23.7760
     168      13.2276      24.2001
     169      13.2999      24.7640
     170      13.2225      23.1555
     171      13.2588      24.6839
     172      13.2025      23.4673
     173      13.2399      24.2824
     174      13.3230      24.0856
     175      13.2900      24.0583
     176      13.2150      24.1343
     177      13.3126      24.1099
     178      13.1738      23.1474
     179      13.2522      24.7020
     180      13.1938      23.9854
     181      13.2191      24.6268
     182      13.1590      23.9626
     183      13.1183      24.0682
     184      13.2253      23.4141
     185      13.2609      24.6813
     186      13.3014      23.6743
     187      13.1981      24.1152
     188      13.1475      23.8526
     189      13.3146      24.4863
     190      13.2216      23.6196
     191      13.2174      23.7234
     192      13.3257      24.8152
     193      13.2434      24.6159
     194      13.1858      22.8857
     195      13.2916      23.7776
     196      13.1604      24.4368
     197      13.2965      24.4147
     198      13.2073      23.6876
     199      13.1844      23.6832
     200      13.2150      23.2329
     201      13.2900      24.4083
     202      13.3189      23.8518
     203      13.3264      24.6490
     204      13.3403      23.8989
     205      13.4078      24.3347
     206      13.2907      23.8219
     207      13.1820      23.8529
     208      13.3566      24.4096
     209      13.2554      23.0340
     210      13.3054      23.8805
     211      13.3003      24.7145
     212      13.1675      23.1466
     213      13.2251      24.4917
     214      13.2048      23.7667
     215      13.2496      24.2070
     216      13.2525      24.4517
     217      13.2823      24.7094
     218      13.2216      23.2874
     219      13.2430      23.2828
     220      13.2176      24.4893
     221      13.2863      23.8901
     222      13.3454      24.1757
     223      13.2536      24.8154
     224      13.1193      22.4862
     225      13.2811      23.6701
     226      13.2371      24.6120
     227      13.2130      23.7060
     228      13.2612      24.4376
     229      13.2794      24.3551
     230      13.2069      23.7395
     231      13.2180      24.0394
     232      13.1509      24.3955
     233      13.2840      24.0470
     234      13.2902      24.7190
     235      13.2657      24.1064
     236      13.1874      23.5425
     237      13.1738      24.1192
     238      13.2700      23.9958
     239      13.3156      24.8653
     240      13.2283      23.4440
     241      13.2181      23.9583
     242      13.1720      23.1212
     243      13.2346      23.8309
     244      13.3384      23.6625
     245      13.3151      24.9428
     246      13.2436      24.4845
     247      13.3222      25.2708
     248      13.2894      23.9156
     249      13.3021      24.9840
     250      13.1548      24.0689
     251      13.2364      24.9677
     252      13.2227      23.7225
