#Frame          CA.CA   CA.CA[Max]
       1      16.5044      27.8725
       2      16.5804      27.1406
       3      16.5351      29.4307
       4      16.6212      30.0426
       5      16.6052      29.6993
       6      16.6046      30.8358
       7      16.5822      29.3901
       8      16.5489      30.1792
       9      16.6106      30.6466
      10      16.5376      28.9416
      11      16.6203      30.0058
      12      16.4995      28.6960
      13      16.5678      28.8516
      14      16.6048      27.7291
      15      16.5738      27.4496
      16      16.6236      28.2649
      17      16.6083      27.2753
      18      16.5361      29.5585
      19      16.5285      30.4891
      20      16.5664      26.8100
      21      16.5689      29.9433
      22      16.5484      28.4429
      23      16.5956      28.8461
      24      16.5542      27.9357
      25      16.6380      29.2255
      26      16.5361      26.8139
      27      16.5333      29.5268
      28      16.5944      27.7715
      29      16.6069      26.8945
      30      16.5912      28.2897
      31      16.5420      28.8179
      32      16.5847      26.9706
      33      16.6357      28.3507
      34      16.6023      29.2966
      35      16.5962      29.4833
      36      16.5917      27.0597
      37      16.5840      27.0256
      38      16.4995      29.0401
      39      16.5317      30.4647
      40      16.4523      27.2666
      41      16.5656      27.7685
      42      16.5914      29.2580
      43      16.5415      28.9479
      44      16.5178      29.5606
      45      16.5467      27.1211
      46      16.5705      26.9717
      47      16.5620      26.7016
      48      16.6141      27.3897
      49      16.5652      26.7315
      50      16.5673      27.2426
      51      16.5620      26.8893
      52      16.5798      26.7370
      53      16.5815      26.3737
      54      16.5624      26.4308
      55      16.5267      26.3552
      56      16.6340      27.2040
      57      16.5888      26.4498
      58      16.6270      26.7171
      59      16.5929      26.5032
      60      16.5678      26.7860
      61      16.6083      27.0731
      62      16.5251      26.8648
      63      16.5919      28.0750
      64      16.6364      27.1722
      65      16.5532      26.6471
      66      16.5977      27.1123
      67      16.5799      27.1274
      68      16.5341      26.6650
      69      16.5389      26.6398
      70      16.4826      26.3178
      71      16.5348      26.0973
      72      16.5525      26.8132
      73      16.5574      26.8338
      74      16.5648      29.0125
      75      16.5903      28.4742
      76      16.4769      26.9171
      77      16.5375      27.1030
      78      16.5411      27.7591
      79      16.5275      27.7959
      80      16.6044      27.7037
      81      16.5525      27.3444
      82      16.5542      25.9602
      83      16.5302      27.5414
      84      16.6082      27.5020
      85      16.5844      28.2599
      86      16.5473      27.3448
      87      16.5528      28.3988
      88      16.6058      28.6838
      89      16.5432      30.0197
      90      16.5577      27.7327
      91      16.6104      27.8981
      92      16.5575      29.2947
      93      16.5695      26.8559
      94      16.5206      26.6694
      95      16.5385      26.4282
      96      16.6216      28.5313
      97      16.5890      28.4286
      98      16.6020      29.4410
      99      16.5752      28.3269
     100      16.5687      29.3219
     101      16.5790      29.7188
     102      16.5788      28.1225
     103      16.5858      27.7056
     104      16.6141      29.2229
     105      16.6053      27.9918
     106      16.5664      30.1878
     107      16.6884      28.9843
     108      16.5885      29.9272
     109      16.6720      28.8281
     110      16.5873      29.5330
     111      16.5708      29.9805
     112      16.5654      29.3578
     113      16.5881      28.2190
     114      16.5766      27.1090
     115      16.5949      27.9156
     116      16.5167      28.3501
     117      16.5812      27.0599
     118      16.5642      27.8874
     119      16.5494      27.7356
     120      16.5269      27.8098
     121      16.5597      27.6142
     122      16.5770      27.8825
     123      16.5351      27.9696
     124      16.5611      29.2170
     125      16.6160      28.2846
     126      16.5315      27.6482
     127      16.5627      27.2661
     128      16.5181      27.1607
     129      16.5679      27.9372
     130      16.5429      26.8144
     131      16.5620      28.2318
     132      16.5107      28.7930
     133      16.5455      27.5183
     134      16.5392      27.9118
     135      16.6036      27.3520
     136      16.4905      28.1889
     137      16.5487      28.0323
     138      16.5877      27.1891
     139      16.5656      27.3589
     140      16.5459      28.4244
     141      16.5801      28.1649
     142      16.5668      27.2463
     143      16.5576      28.9331
     144      16.5890      29.7459
     145      16.5562      27.4966
     146      16.5899      27.1004
     147      16.5457      27.6717
     148      16.5497      28.8599
     149      16.5347      28.6264
     150      16.5806      28.5934
     151      16.5259      27.8329
     152      16.5650      28.0000
     153      16.6019      27.7727
     154      16.6417      28.9339
     155      16.5859      28.3436
     156      16.5353      27.8026
     157      16.5955      28.6917
     158      16.6260      27.9728
     159      16.5478      26.6400
     160      16.6028      26.4824
     161      16.5534      27.3621
     162      16.5500      27.5355
     163      16.6152      27.4324
     164      16.5878      28.3187
     165      16.5482      28.0813
     166      16.5632      27.2548
     167      16.5925      27.0844
     168      16.6208      27.5620
     169      16.6588      28.7832
     170      16.6051      28.2913
     171      16.5772      27.6025
     172      16.5731      28.2193
     173      16.5914      29.4093
     174      16.6232      28.0909
     175      16.6051      28.9614
     176      16.5508      28.4822
     177      16.5864      26.9564
     178      16.6092      28.7828
     179      16.5719      27.0833
     180      16.5717      26.9339
     181      16.6436      26.7033
     182      16.5772      26.0415
     183      16.6142      26.9300
     184      16.5764      26.3185
     185      16.5803      27.1018
     186      16.5887      27.8256
     187      16.5998      27.1936
     188      16.6099      27.4842
     189      16.5450      26.8913
     190      16.5876      27.5937
     191      16.5787      27.1151
     192      16.5386      26.4678
     193      16.5419      27.0468
     194      16.5879      28.0279
     195      16.6266      28.5031
     196      16.5625      27.9046
     197      16.6175      28.4214
     198      16.5835      26.5197
     199      16.5260      26.6771
     200      16.5780      28.2370
     201      16.6065      27.7954
     202      16.5609      28.3861
     203      16.5661      29.6336
     204      16.5622      27.2664
     205      16.5712      29.1874
     206      16.5538      27.1060
     207      16.6164      26.8276
     208      16.5635      26.2405
     209      16.5853      26.8493
     210      16.5246      26.9527
     211      16.5809      26.9827
     212      16.5753      27.2073
     213      16.6076      28.5513
     214      16.5446      27.2555
     215      16.5652      29.7730
     216      16.6057      28.2661
     217      16.5659      28.4309
     218      16.5375      29.4503
     219      16.5669      29.5204
     220      16.6237      29.2014
     221      16.5840      30.1611
     222      16.5596      30.1508
     223      16.5177      30.3938
     224      16.5988      30.2089
     225      16.5821      29.7199
     226      16.5276      29.0161
     227      16.5688      29.9472
     228      16.6075      28.8243
     229      16.6078      29.4408
     230      16.6040      29.4488
     231      16.6176      30.0519
     232      16.5528      28.5623
     233      16.5706      30.4352
     234      16.5726      30.1492
     235      16.5759      30.0713
     236      16.6656      29.7588
     237      16.6019      30.2812
     238      16.6126      28.2032
     239      16.5557      27.8378
     240      16.5488      28.5778
     241      16.5834      27.5417
     242      16.5970      27.7334
     243      16.5852      28.0640
     244      16.5472      28.2228
     245      16.5994      29.3239
     246      16.6089      28.6637
     247      16.5641      27.8370
     248      16.6262      28.4103
     249      16.6247      30.3811
     250      16.6589      27.6345
     251      16.6242      29.8366
     252      16.5767      29.5299
     253      16.6251      29.8120
     254      16.6040      29.6146
     255      16.6951      28.7378
     256      16.6226      30.3364
     257      16.5654      29.7247
     258      16.5685      29.9859
     259      16.6481      29.8388
     260      16.6409      29.6202
     261      16.5764      28.6457
     262      16.6485      29.6240
     263      16.5867      28.5230
     264      16.5741      29.1987
     265      16.5226      29.9211
     266      16.6057      29.9084
     267      16.5974      29.5863
     268      16.5731      29.8922
     269      16.5878      30.2307
     270      16.5578      29.8668
     271      16.5817      28.6311
     272      16.6017      30.0765
     273      16.5963      30.1699
     274      16.5713      29.4436
     275      16.6186      30.3263
     276      16.6273      28.5072
     277      16.6007      28.4240
     278      16.5748      26.5815
     279      16.5718      27.7332
     280      16.5378      26.5746
     281      16.5883      27.8642
     282      16.6019      27.2814
     283      16.5691      28.5639
     284      16.5926      28.2110
     285      16.5628      27.7394
     286      16.6033      29.3667
     287      16.5455      30.0175
     288      16.6213      28.3460
     289      16.5187      28.9985
     290      16.5826      30.2372
     291      16.5906      30.3612
     292      16.6200      28.7890
     293      16.5912      29.9213
     294      16.6453      29.8561
     295      16.5867      29.4852
     296      16.5963      29.8074
     297      16.6668      30.6024
     298      16.5865      29.0517
     299      16.6271      28.5736
     300      16.5722      29.5671
     301      16.5928      29.1227
     302      16.6065      29.4632
     303      16.6719      29.8585
     304      16.6105      28.2343
     305      16.6386      30.5913
     306      16.6587      29.7062
     307      16.5871      29.0591
     308      16.5814      29.5228
     309      16.5801      29.4522
     310      16.5878      29.5108
     311      16.6408      27.7281
     312      16.5068      28.9004
     313      16.5448      29.4506
     314      16.5831      28.2288
     315      16.5132      27.9359
     316      16.5407      27.8360
     317      16.5296      29.8866
     318      16.5688      29.4572
     319      16.5571      29.1289
     320      16.5557      28.9062
     321      16.5103      30.5342
     322      16.5653      30.1001
     323      16.5466      28.3155
     324      16.5762      29.9099
     325      16.5303      29.9608
     326      16.5952      28.8688
     327      16.5341      29.9675
     328      16.5521      30.0333
     329      16.5846      29.6075
     330      16.5849      29.9593
     331      16.5948      29.7623
     332      16.5589      27.6723
     333      16.5822      29.2205
     334      16.5550      28.6061
     335      16.5951      29.2160
     336      16.6243      28.6643
     337      16.5877      28.6333
     338      16.6113      29.0790
     339      16.5514      28.5961
     340      16.5553      29.7509
     341      16.5719      28.3812
     342      16.5787      27.3244
     343      16.5595      28.5670
     344      16.5510      28.9192
     345      16.5501      28.4302
     346      16.5636      28.7578
     347      16.5102      27.1341
     348      16.5457      29.8048
     349      16.5869      28.9035
     350      16.5973      26.1275
     351      16.5993      28.4449
     352      16.5781      28.5629
     353      16.5054      27.9020
     354      16.5902      28.9252
     355      16.5609      28.0664
     356      16.5199      29.3282
     357      16.5970      27.2487
     358      16.5875      26.7546
     359      16.5467      27.2374
     360      16.6346      27.3347
     361      16.5020      28.5305
     362      16.6424      28.5748
     363      16.6600      26.7675
     364      16.6120      27.8958
     365      16.5607      27.4274
     366      16.5801      28.8066
     367      16.5764      27.9855
     368      16.5922      28.2785
     369      16.6110      28.4835
     370      16.5804      28.1425
     371      16.5501      28.6404
     372      16.6084      28.8801
