#Frame          CA.CA   CA.CA[Max]
       1      16.1339      30.1890
       2      16.0762      29.2787
       3      16.0796      29.2549
       4      16.0723      30.4125
       5      16.1012      29.1731
       6      16.0171      30.0560
       7      16.0202      29.7608
       8      15.8864      29.4433
       9      16.0281      29.0512
      10      15.9181      29.2802
      11      16.1112      30.8232
      12      15.9695      29.1462
      13      16.0540      28.7260
      14      16.0251      32.3540
      15      16.0912      30.0672
      16      16.0561      30.1857
      17      16.1154      30.4641
      18      16.0039      28.9054
      19      15.9996      30.4730
      20      16.1179      29.5006
      21      16.0057      30.5138
      22      16.0642      29.5688
      23      16.0589      32.1100
      24      16.0414      31.1798
      25      16.0337      30.1776
      26      16.0095      29.8477
      27      16.0217      30.2076
      28      16.0539      29.9034
      29      15.9411      29.9846
      30      15.9694      29.6013
      31      16.0290      30.8745
      32      16.0423      31.3635
      33      15.9372      29.4701
      34      15.9620      29.0548
      35      15.9534      30.3551
      36      16.0154      29.5831
      37      15.9938      28.7286
      38      16.0162      29.4545
      39      16.0712      29.3402
      40      16.0780      29.8201
      41      16.0906      30.0418
      42      16.0262      28.8795
      43      16.0006      28.7940
      44      16.0443      30.7765
      45      16.0348      29.5251
      46      15.9759      29.6330
      47      16.1132      29.8527
      48      16.0659      31.6159
      49      15.9651      29.4693
      50      16.0772      29.5832
      51      16.1116      30.5427
      52      16.0301      30.5745
      53      16.0693      30.5361
      54      16.0051      29.6466
      55      16.1045      28.9393
      56      16.0001      29.0462
      57      16.0956      30.5244
      58      15.9833      29.5977
      59      16.0194      29.2702
      60      16.1587      29.6190
      61      16.1170      29.0835
      62      16.0344      29.7415
      63      16.0639      29.1683
      64      16.1239      30.2541
      65      16.0978      30.1188
      66      16.0538      29.4838
      67      16.0824      28.8942
      68      15.9712      29.2026
      69      16.0387      30.4764
      70      16.0021      29.7638
      71      15.9865      28.8665
      72      16.0346      29.0399
      73      16.0444      30.0462
      74      16.0586      30.3427
      75      16.1495      29.9546
      76      16.0759      28.8179
      77      16.1109      29.3416
      78      16.0620      30.7053
      79      16.0339      29.8506
      80      16.0769      31.1280
      81      15.9670      29.6232
      82      16.0369      28.9890
      83      16.0193      29.7032
      84      16.0172      30.2936
      85      16.0619      30.4556
      86      16.0651      29.3616
      87      15.9538      29.5135
      88      15.9431      29.1142
      89      16.0633      30.1200
      90      16.0009      31.0736
      91      15.9289      29.3066
      92      16.0066      29.8962
      93      15.9370      28.6047
      94      16.0338      30.8336
      95      15.9753      29.7831
      96      16.0353      29.8471
      97      15.9986      30.3727
      98      16.1352      29.9429
      99      16.0823      30.1898
     100      16.0652      30.0587
     101      16.0319      29.2787
     102      16.0092      30.8326
     103      15.9742      30.4895
     104      16.0261      29.2239
     105      15.9656      29.5332
     106      16.0363      29.9907
     107      16.0639      29.9412
     108      15.9770      29.7755
     109      16.0593      29.4202
     110      16.0210      29.7732
     111      16.0497      30.5588
     112      16.1152      30.1629
     113      16.1008      29.6370
     114      16.0333      30.2313
     115      15.9560      29.3298
     116      16.0705      30.3733
     117      15.9425      28.5185
     118      16.0062      28.9782
     119      16.0261      30.1114
     120      16.0992      30.4161
     121      16.0341      31.3071
     122      15.9536      29.7034
     123      16.1149      30.0711
     124      15.9222      29.0116
     125      16.1274      29.3672
     126      16.1102      30.4970
     127      16.0698      30.0421
     128      15.9876      29.5438
     129      16.0208      29.8870
     130      15.9916      29.2155
     131      16.0561      29.3288
     132      16.0008      29.3624
     133      15.9474      29.4154
     134      16.0790      29.3592
     135      16.0783      29.4920
     136      15.9568      29.7543
     137      15.9755      29.4525
     138      16.1096      29.7344
     139      16.0585      30.5770
     140      16.0299      29.8904
     141      16.0330      30.5858
     142      16.0298      29.4816
     143      16.0275      28.7568
     144      16.0146      29.9263
     145      16.0267      30.3481
     146      16.0159      30.0800
     147      16.0870      29.7607
     148      16.0751      29.3232
     149      16.0920      30.9325
     150      16.0577      30.2312
     151      16.0651      29.7542
     152      16.0361      30.7313
     153      15.9873      29.3095
     154      16.0808      30.3426
     155      16.0926      29.8921
     156      15.9820      28.8547
     157      16.0176      29.2643
     158      16.0508      29.6378
     159      16.0785      30.5894
     160      16.0164      30.8614
     161      16.1211      32.1233
     162      16.0674      29.8678
     163      15.9891      30.3080
     164      16.0990      31.3360
     165      16.0784      29.8204
     166      15.8966      30.6015
     167      16.0079      30.0614
     168      16.1164      31.3337
     169      16.0858      29.7920
     170      16.1237      29.9681
     171      16.0756      30.0046
     172      16.0611      31.0441
     173      16.0404      29.0007
     174      16.1011      29.5375
     175      16.0749      29.6519
     176      16.0992      29.7512
     177      16.0559      29.4493
     178      16.0853      29.3800
     179      16.0091      29.3548
     180      16.0615      29.6588
     181      16.0180      30.3923
     182      16.0985      29.9442
     183      16.0657      28.9143
     184      16.0804      30.1367
     185      16.0622      29.5401
     186      16.0589      30.9411
     187      15.9565      29.3268
     188      16.0821      30.5563
     189      16.0921      29.9894
     190      16.0578      30.3498
     191      15.9644      29.8814
     192      16.0717      29.6167
     193      16.2142      29.9932
     194      16.1465      30.4779
     195      15.9895      29.5435
     196      16.0690      29.3470
     197      16.0937      30.3402
     198      16.0949      29.8998
     199      16.0431      30.8467
     200      16.0382      30.1741
     201      15.9730      29.4158
     202      15.9463      29.2512
     203      16.0908      29.7470
     204      16.1416      31.1462
