#Frame          CA.CA   CA.CA[Max]
       1      19.7364      51.5567
       2      19.7452      50.2028
       3      19.7408      50.2505
       4      19.7514      51.3385
       5      19.7685      50.0874
       6      19.7350      50.1767
       7      19.7549      50.4675
       8      19.7506      51.5872
       9      19.6919      51.3001
      10      19.6707      50.2682
      11      19.6936      49.5025
      12      19.7348      50.2868
      13      19.6521      50.7730
      14      19.6746      53.2065
      15      19.6538      52.2515
      16      19.7409      52.6496
      17      19.7206      50.8112
      18      19.7015      51.0495
      19      19.7724      52.6720
      20      19.6493      50.0241
      21      19.5912      52.1258
      22      19.6486      51.3526
      23      19.7490      50.6778
      24      19.6821      50.2970
      25      19.6237      49.6106
      26      19.6115      50.1550
      27      19.6518      50.8767
      28      19.7167      50.3525
      29      19.5848      50.7936
      30      19.5838      50.4594
      31      19.8534      51.8883
      32      19.7368      50.2957
      33      19.5846      50.0416
      34      19.7044      51.6580
      35      19.8360      51.4944
      36      19.6666      50.9507
      37      19.8514      50.8977
      38      19.5896      49.9950
      39      19.7100      50.7250
      40      19.7232      52.6982
      41      19.7776      51.7650
      42      19.7319      50.4845
      43      19.7053      50.4950
      44      19.7811      50.4847
      45      19.6828      51.8737
      46      19.7555      50.9011
      47      19.7678      50.9465
      48      19.7614      50.5978
      49      19.7634      51.0360
      50      19.7481      51.1910
      51      19.7408      51.8913
      52      19.8524      52.6763
      53      19.7086      51.8792
      54      19.8666      51.4861
      55      19.7196      49.9972
      56      19.8190      51.2446
      57      19.7965      50.5352
      58      19.8254      51.2218
      59      19.7885      50.9401
      60      19.8573      51.3093
      61      19.8014      51.2996
      62      19.6674      50.2287
      63      19.7254      49.8831
      64      19.6965      51.0979
      65      19.8734      52.3764
      66      19.7972      53.2630
      67      19.7876      51.0089
      68      19.7948      50.7725
      69      19.7246      49.7842
      70      19.7858      51.3203
      71      19.7646      51.1366
      72      19.7707      51.0163
      73      19.9182      50.0913
      74      19.7955      50.3747
      75      19.7543      50.7817
      76      19.7375      49.3881
      77      19.7776      49.7553
      78      19.8663      52.0932
      79      19.7649      50.5573
      80      19.8743      50.1488
      81      19.7308      50.4714
      82      19.8477      49.9315
      83      19.8413      51.0965
      84      19.8180      50.5821
      85      19.7652      50.1472
      86      19.8577      51.0539
      87      19.7376      51.3203
      88      19.7038      51.3902
      89      19.8039      50.4504
      90      19.6368      50.8348
      91      19.6692      51.0717
      92      19.7471      50.1713
      93      19.6991      50.3278
      94      19.8493      50.4905
      95      19.7093      50.2217
      96      19.6895      50.0775
      97      19.7355      50.5101
      98      19.6894      52.1156
      99      19.6642      49.3272
     100      19.6216      50.6623
     101      19.7905      51.9078
     102      19.7756      50.9424
     103      19.8055      51.5060
     104      19.7863      51.1083
     105      19.8645      51.3760
     106      19.6494      49.3028
     107      19.7212      50.8354
     108      19.7848      50.6722
     109      19.8004      50.3654
     110      19.6732      49.8861
     111      19.7085      51.3161
     112      19.7718      50.4235
     113      19.8360      51.0912
     114      19.7466      50.2482
     115      19.6813      49.9802
     116      19.7902      51.8141
     117      19.5689      49.8737
     118      19.6882      50.7364
     119      19.7665      51.5082
     120      19.6785      50.9386
     121      19.7790      49.9503
     122      19.7815      51.3642
     123      19.7650      51.9847
     124      19.7844      50.7868
     125      19.7676      50.7969
     126      19.7441      49.8463
     127      19.7124      49.7674
     128      19.7804      50.5584
     129      19.7458      49.7726
     130      19.7850      50.4179
     131      19.7529      50.6903
     132      19.8024      51.1127
     133      19.7647      49.6368
     134      19.6945      51.0380
     135      19.6810      49.7965
     136      19.6338      49.9394
     137      19.6739      50.6730
     138      19.7718      51.0249
     139      19.7015      50.3507
     140      19.7734      50.3922
     141      19.7656      50.6672
     142      19.7591      51.3141
     143      19.7649      50.1299
     144      19.6050      49.1680
     145      19.6560      49.4311
     146      19.6081      49.8090
     147      19.7298      50.3539
     148      19.7492      51.5721
     149      19.7942      50.6477
     150      19.7043      50.4799
     151      19.7147      49.8744
     152      19.7857      53.2106
     153      19.8564      50.2201
     154      19.6583      51.7150
     155      19.5663      51.4227
     156      19.7256      50.4884
     157      19.6563      50.6662
     158      19.8094      51.6406
     159      19.8914      50.1805
     160      19.6885      49.7568
     161      19.7350      49.0824
     162      19.7271      52.8220
     163      19.7013      51.5336
     164      19.7332      49.8017
     165      19.8785      49.6238
     166      19.7347      50.9297
     167      19.8601      51.8059
     168      19.7463      50.3035
     169      19.7716      50.7111
     170      19.7072      51.1587
     171      19.6982      51.8567
     172      19.8429      50.9855
     173      19.7676      52.0391
     174      19.7965      51.8442
     175      19.7769      51.5230
     176      19.7556      50.8363
     177      19.7999      50.1108
     178      19.6708      50.6454
     179      19.6556      51.2942
     180      19.6345      49.8221
     181      19.7211      51.1607
     182      19.7612      51.8924
     183      19.7896      50.9891
     184      19.7537      51.3568
     185      19.7777      49.2573
     186      19.7866      51.6555
     187      19.7671      50.7879
     188      19.7423      51.8041
     189      19.7575      51.3747
     190      19.8210      50.9417
     191      19.7297      50.8470
     192      19.7954      51.9699
     193      19.9051      52.9221
     194      19.7012      49.8456
     195      19.5682      50.4681
     196      19.6901      50.7789
     197      19.4135      50.0796
     198      19.7742      50.9462
     199      19.6951      52.4366
     200      19.6581      50.3756
     201      19.7270      50.1937
     202      19.9144      51.5720
     203      19.8298      51.0246
     204      19.8459      51.9400
     205      19.7965      49.4270
     206      19.7666      49.9394
     207      19.7930      50.8151
     208      19.8503      50.9671
     209      19.7110      50.3923
     210      19.8834      51.7513
     211      19.8621      50.7162
     212      19.7810      49.4426
     213      19.8310      49.6237
     214      19.7658      50.1279
     215      19.8963      51.2952
     216      19.8712      51.7163
     217      19.8595      51.5897
     218      19.7976      50.7427
     219      19.7543      51.2586
     220      19.7614      50.9549
     221      19.8888      51.3301
     222      19.8592      52.2240
     223      19.8609      51.4185
     224      19.7360      51.8441
     225      19.6861      50.6135
     226      19.7591      50.7395
     227      19.7415      50.4727
     228      19.7302      50.8400
     229      19.7815      51.1580
     230      19.6767      50.1910
     231      19.7885      50.0957
     232      19.5869      51.7850
     233      19.6820      50.8426
     234      19.6512      51.0834
     235      19.8159      49.8170
     236      19.8089      49.9632
     237      19.8339      50.1463
     238      19.8149      50.5083
     239      19.7467      50.7041
     240      19.9308      52.1665
     241      19.8489      51.1692
     242      19.8254      50.0029
     243      19.7454      52.2325
     244      19.7726      50.1328
     245      19.6366      51.7490
     246      19.8693      51.4571
     247      19.8410      50.9114
     248      19.8215      50.0185
     249      19.9103      49.7095
     250      19.7998      49.7648
     251      19.7471      51.7386
     252      19.8725      51.0296
     253      19.7009      50.3923
     254      19.8612      50.4809
     255      19.7184      51.6684
     256      19.9003      50.3811
     257      19.7310      50.7595
     258      19.8802      51.6481
     259      19.8362      50.7443
     260      19.8764      50.8580
     261      19.8480      51.3297
     262      19.7342      50.0812
     263      19.7572      52.6825
     264      19.7904      50.6534
     265      19.7448      51.2324
     266      19.8839      50.8421
     267      19.7887      50.3834
     268      19.8739      51.5999
     269      19.6270      49.2205
     270      19.6272      50.4003
     271      19.7170      49.5055
     272      19.6713      50.3719
     273      19.7742      52.0086
     274      19.6549      49.7415
     275      19.7786      50.5352
     276      19.8303      51.5741
     277      19.7840      53.1457
     278      19.7048      50.5434
     279      19.7618      51.7041
     280      19.7608      50.9219
     281      19.8643      50.2951
     282      20.0024      50.3005
     283      19.7753      49.4218
     284      19.7276      51.4892
     285      19.7934      49.2402
     286      19.7747      50.3553
     287      19.7730      51.1673
     288      19.6855      52.3255
     289      19.8198      50.1215
     290      19.8407      50.8315
     291      19.6052      49.1867
     292      19.6495      49.7542
     293      19.7469      50.6754
     294      19.7455      49.3761
     295      19.8017      50.0539
     296      19.7727      51.5262
     297      19.8470      50.4729
     298      19.8659      50.7925
     299      19.8589      50.2468
     300      19.7910      50.6447
     301      19.8585      51.1239
     302      19.7283      49.9583
     303      19.8394      51.5596
     304      19.8236      50.3565
     305      19.7332      50.1711
     306      19.8450      50.4144
     307      19.7123      49.7558
     308      19.8051      50.6503
     309      19.8231      50.7037
     310      19.8320      50.7637
     311      19.7582      49.8555
     312      19.9505      50.2299
     313      19.7296      51.3701
     314      19.7640      50.7884
     315      19.7689      51.9119
     316      19.7806      51.2849
     317      19.7171      49.9663
     318      19.7840      50.9126
     319      19.7148      50.0923
     320      19.7068      52.1884
     321      19.6244      50.3401
     322      19.6971      51.4246
     323      19.7669      49.9568
     324      19.8529      50.2376
     325      19.8376      53.2652
     326      19.8031      50.6744
     327      19.8337      52.6444
     328      19.8103      51.1116
     329      19.8422      50.9635
     330      19.7318      50.2038
     331      19.7469      49.9100
     332      19.8704      51.4959
     333      19.7444      49.8324
     334      19.8380      50.1995
     335      19.6418      51.4139
     336      19.7530      51.1711
     337      19.8566      50.3497
     338      19.6477      49.7335
     339      19.7624      53.0906
     340      19.7611      51.4555
     341      19.7479      49.5066
     342      19.6979      48.3672
     343      19.7405      51.5298
     344      19.7912      49.8197
     345      19.7852      49.2425
     346      19.7409      50.4839
     347      19.8477      50.4086
     348      19.7785      50.8401
     349      19.7024      50.3748
     350      19.7807      48.9697
     351      19.9248      49.9131
     352      19.8410      51.4680
     353      19.7585      50.2236
     354      19.8924      50.9075
     355      19.7617      51.0988
     356      19.7630      50.3595
     357      19.8379      50.4536
     358      19.6973      50.7148
     359      19.7902      50.0032
     360      19.8875      50.7381
     361      19.8438      50.5023
     362      19.7334      50.3398
     363      19.7829      50.2748
     364      19.7848      49.6277
     365      19.7667      50.8303
     366      19.7943      50.4740
     367      19.7923      50.5030
     368      19.9606      50.2468
     369      19.9113      50.2386
     370      19.6363      50.4068
     371      19.8163      51.2894
     372      19.7253      50.6433
     373      19.7860      49.7261
     374      19.7884      51.1275
     375      19.7113      49.7015
     376      19.6859      50.4001
     377      19.7881      50.7530
     378      19.7577      51.8050
     379      19.8222      51.2062
     380      19.7712      50.9204
     381      19.7455      50.9533
     382      19.8654      50.3235
     383      19.6889      50.4530
     384      19.9241      49.7356
     385      19.7801      49.8231
     386      19.6468      51.0568
     387      19.7993      50.9953
     388      19.8520      50.9412
     389      19.8072      51.2706
     390      19.8524      51.1600
     391      19.8704      51.1285
     392      19.7078      50.0611
     393      19.7335      51.1778
     394      19.7165      50.9544
     395      19.6858      51.1926
     396      19.7945      52.0022
     397      19.7178      50.4136
     398      19.6556      49.9169
     399      19.6393      50.4126
     400      19.7970      50.5054
     401      19.6775      50.0968
     402      19.7209      50.7492
     403      19.7130      51.8176
     404      19.7208      52.0877
     405      19.7250      53.0193
     406      19.8319      49.7638
     407      19.7292      50.1630
     408      19.7696      49.8705
     409      19.8117      50.1414
     410      19.7738      51.6460
     411      19.6517      51.0236
     412      19.7973      51.0263
     413      19.7443      50.7746
     414      19.7931      50.3400
     415      19.8073      50.6387
     416      19.7630      50.6526
     417      19.7698      50.8582
     418      19.6044      48.7360
     419      19.7579      50.3502
     420      19.7736      49.6088
     421      19.7378      50.1364
     422      19.9187      51.3363
     423      19.7805      50.6098
     424      19.8841      51.4968
     425      19.7519      51.7803
     426      19.9067      51.6643
     427      19.7786      50.3966
     428      19.7302      50.6446
     429      19.8080      50.8507
     430      19.7982      51.2290
     431      19.7963      50.1332
     432      19.7894      50.8778
     433      19.8611      50.4707
     434      19.7850      50.3881
     435      19.7958      52.4291
     436      19.8103      51.0269
     437      19.7320      49.2618
     438      19.7326      50.7516
     439      19.8195      51.3257
     440      19.5724      49.8967
     441      19.8274      50.9770
     442      19.7033      49.8464
     443      19.6444      50.6294
     444      19.7621      51.5486
     445      19.7543      49.3716
     446      19.7813      51.1346
     447      19.7196      51.3211
     448      19.6984      49.2617
     449      19.7197      51.9074
     450      19.8147      51.0347
     451      19.7934      51.5814
     452      19.6991      49.9630
     453      19.6574      50.0490
     454      19.7247      50.5948
     455      19.8670      50.4455
     456      19.8239      49.9085
     457      19.8092      51.1977
     458      19.6278      50.6153
     459      19.7368      51.9660
     460      19.8758      50.6037
     461      19.6084      49.5262
     462      19.7475      49.7940
     463      19.7972      49.3735
     464      19.7269      51.6635
     465      19.8187      51.7533
     466      19.8129      51.0912
     467      19.6550      50.0615
     468      19.6642      51.2290
     469      19.8642      49.5552
     470      19.7538      51.3472
     471      19.8088      50.7206
     472      19.6820      50.2940
     473      19.7498      50.3719
     474      19.7338      50.7287
     475      19.7071      52.0894
     476      19.7717      50.0940
     477      19.7017      51.4635
     478      19.6717      50.3882
     479      19.7929      50.7725
     480      19.8383      51.5912
     481      19.6706      50.8733
     482      19.7269      49.4370
     483      19.6242      50.9810
     484      19.7658      51.3996
     485      19.6303      50.5991
     486      19.7050      50.4793
     487      19.7593      50.5675
     488      19.7084      50.2123
     489      19.6873      50.1810
     490      19.7047      50.8830
     491      19.6244      49.3317
     492      19.6776      50.1379
     493      19.7695      50.2486
     494      19.7757      48.8971
     495      19.7174      50.0091
     496      19.6725      50.3646
     497      19.7076      50.7983
     498      19.5972      51.0738
     499      19.7219      48.8680
     500      19.7111      50.4408
