#Frame          CA.CA   CA.CA[Max]
       1      12.5713      26.8479
       2      12.5481      26.4200
       3      12.4115      25.1133
       4      12.6444      26.0468
       5      12.4949      26.9300
       6      12.5892      26.7823
       7      12.6065      26.0950
       8      12.5515      26.5679
       9      12.5341      26.6467
      10      12.5317      26.4442
      11      12.5155      26.7260
      12      12.6091      26.5146
      13      12.5516      26.1651
      14      12.6338      26.8701
      15      12.6305      26.5260
      16      12.5750      26.3220
      17      12.5371      25.9757
      18      12.5876      26.3099
      19      12.6732      27.1947
      20      12.5456      26.7591
      21      12.5353      29.1764
      22      12.5140      26.2920
      23      12.5077      26.6278
      24      12.5310      26.2336
      25      12.4127      25.4298
      26      12.5856      26.8067
      27      12.6772      28.3745
      28      12.5082      26.7948
      29      12.6666      27.1802
      30      12.6038      26.3944
      31      12.5431      27.0962
      32      12.4768      25.7759
      33      12.4434      26.6544
      34      12.5262      26.0261
      35      12.5313      26.5302
      36      12.5081      26.4357
      37      12.5593      26.4979
      38      12.4627      25.7276
      39      12.5995      25.6948
      40      12.4393      25.7507
      41      12.6785      27.3907
      42      12.5885      26.2375
      43      12.6293      26.2485
      44      12.5432      26.6810
      45      12.6009      26.0451
      46      12.6670      27.6742
      47      12.5376      27.0609
      48      12.7110      28.6535
      49      12.5122      26.2318
      50      12.6598      25.9266
      51      12.5800      26.1716
      52      12.5455      26.6369
      53      12.4881      25.9961
      54      12.6005      27.1245
      55      12.5007      26.4041
      56      12.6124      26.6615
      57      12.5866      26.4130
      58      12.6101      27.1194
      59      12.6130      28.2439
      60      12.6220      26.5536
      61      12.5191      26.0879
      62      12.5439      26.8029
      63      12.4470      25.9662
      64      12.5669      27.8819
      65      12.6303      27.1840
      66      12.6178      28.1928
      67      12.6905      27.6441
      68      12.5818      30.5923
      69      12.6447      26.5020
      70      12.5986      26.4344
      71      12.5135      25.5655
      72      12.5900      27.4052
      73      12.5165      26.4113
      74      12.6511      26.7517
      75      12.4935      26.1086
      76      12.6257      27.1041
      77      12.6008      25.5353
      78      12.7135      28.2018
      79      12.4794      26.1818
      80      12.4719      25.9634
      81      12.5532      26.6247
      82      12.5388      25.8323
      83      12.7105      27.5114
      84      12.4378      25.9398
      85      12.6350      27.5923
      86      12.6124      26.8541
      87      12.5804      26.6278
      88      12.5701      27.1969
      89      12.6786      26.5336
      90      12.6229      27.1869
      91      12.6517      26.5856
      92      12.5601      26.0761
      93      12.4994      25.8692
      94      12.6521      26.5371
      95      12.4359      25.5619
      96      12.6973      27.4798
      97      12.6540      27.3987
      98      12.6833      26.9097
      99      12.5699      26.5479
     100      12.6916      27.6276
     101      12.6992      27.3764
     102      12.5068      25.4097
     103      12.6701      26.3054
     104      12.6170      26.6531
     105      12.3974      25.7763
     106      12.6103      26.8187
     107      12.5788      26.7083
     108      12.6370      26.3159
     109      12.5569      26.1213
     110      12.5207      25.9574
     111      12.4354      25.9350
     112      12.6045      26.9251
     113      12.4729      25.9457
     114      12.3378      26.0013
     115      12.4464      26.3477
     116      12.4894      26.4235
     117      12.5180      26.5569
     118      12.4599      26.1576
     119      12.7062      26.8430
     120      12.5747      26.6027
     121      12.4791      26.6853
     122      12.5970      26.3045
     123      12.3759      26.8856
     124      12.4958      26.1578
     125      12.4083      25.8429
     126      12.4262      25.3823
     127      12.6905      27.0097
     128      12.5912      26.2187
     129      12.6341      26.4153
     130      12.6436      26.0433
     131      12.6167      26.1907
     132      12.6756      27.5560
     133      12.6232      27.0378
     134      12.6145      26.6451
     135      12.4566      25.9103
     136      12.5057      26.2370
     137      12.4637      27.2038
     138      12.4397      26.1793
     139      12.4330      25.8525
     140      12.6086      26.7648
     141      12.4954      26.3894
     142      12.5396      26.8515
     143      12.4588      26.3799
     144      12.4459      26.5457
     145      12.6080      26.3601
     146      12.5476      26.8075
     147      12.6236      26.6217
     148      12.4487      26.0807
     149      12.5470      26.2623
     150      12.5174      26.8259
     151      12.6172      26.5579
     152      12.5506      26.7236
     153      12.5508      26.4138
     154      12.5694      26.6784
     155      12.5222      27.3766
     156      12.5400      26.5751
     157      12.4952      26.0144
     158      12.6747      27.0243
     159      12.5477      25.7310
     160      12.6152      26.7261
     161      12.5071      25.6071
     162      12.4740      26.3306
     163      12.5097      26.9018
     164      12.5491      26.2781
     165      12.5364      25.8269
     166      12.6027      25.8072
     167      12.5194      26.6655
     168      12.7186      27.1225
     169      12.4821      26.4879
     170      12.4956      26.8378
     171      12.5391      26.8285
     172      12.5003      26.4370
     173      12.4186      26.7034
     174      12.5472      27.0538
     175      12.4614      26.3950
     176      12.5090      26.0107
     177      12.5469      26.1539
     178      12.4711      26.0940
     179      12.5806      26.3698
     180      12.5368      25.7320
     181      12.3340      26.6120
     182      12.6442      26.7581
     183      12.5062      26.6813
     184      12.5044      26.4171
     185      12.5007      26.9202
     186      12.6616      27.0782
     187      12.4805      26.6962
     188      12.5049      26.9176
     189      12.5756      26.0330
     190      12.5141      26.0686
     191      12.6524      26.0184
     192      12.5670      26.1599
     193      12.5808      26.3162
     194      12.5460      25.9546
     195      12.5465      25.9315
     196      12.4833      26.9758
     197      12.6325      27.0185
     198      12.7341      26.5589
     199      12.7528      27.5029
     200      12.6373      26.7278
     201      12.5833      26.6986
     202      12.7582      27.4054
     203      12.6574      26.3729
     204      12.6088      26.7911
     205      12.6598      27.1467
     206      12.7392      26.8104
     207      12.7045      26.5815
     208      12.6622      27.1218
     209      12.6217      26.1502
     210      12.6436      26.7800
     211      12.7305      27.5243
     212      12.5444      25.4140
     213      12.6740      26.8808
     214      12.5053      26.1206
     215      12.5217      25.8873
     216      12.5336      26.7941
     217      12.6151      26.9353
     218      12.5276      26.1853
     219      12.5879      27.4281
     220      12.5288      26.6999
     221      12.5407      26.6122
     222      12.5372      27.5099
     223      12.4865      26.3257
     224      12.5110      26.6535
     225      12.6576      26.9600
     226      12.5319      25.8122
     227      12.4042      25.9048
     228      12.5066      26.9862
     229      12.6521      27.2383
     230      12.4859      25.6978
     231      12.6532      27.1293
     232      12.5658      27.3867
     233      12.5712      26.7250
     234      12.6073      26.6995
     235      12.5474      26.0768
     236      12.5534      26.5641
     237      12.5154      26.1475
     238      12.5538      26.4710
     239      12.5052      27.3857
     240      12.5908      26.4933
     241      12.5351      26.8691
     242      12.5260      25.0016
     243      12.5759      27.2245
     244      12.6079      27.0123
     245      12.5496      27.1538
     246      12.6073      27.7095
     247      12.4589      25.9265
     248      12.4358      26.3238
     249      12.5873      26.2368
     250      12.2884      25.9162
     251      12.6119      26.1517
     252      12.5262      29.0449
     253      12.5653      26.5961
     254      12.4845      26.0313
     255      12.4723      25.8870
     256      12.5818      27.2884
     257      12.6002      26.1769
     258      12.4349      26.8544
     259      12.3936      25.5158
     260      12.3491      26.3131
     261      12.4389      26.7380
     262      12.5256      26.7380
     263      12.6402      27.7777
     264      12.5345      26.4249
     265      12.6043      25.3350
     266      12.5714      26.2184
     267      12.5737      26.4830
     268      12.5484      26.8377
     269      12.5223      26.0830
     270      12.4244      25.9435
     271      12.6488      27.2223
     272      12.4888      26.8707
     273      12.6105      26.8834
     274      12.4071      25.8602
     275      12.4783      25.6841
     276      12.5668      27.0237
     277      12.6273      26.1970
     278      12.4772      27.2144
     279      12.5943      26.7581
     280      12.6199      26.8097
     281      12.5854      26.2613
     282      12.6798      26.2339
     283      12.7136      27.6042
     284      12.6498      26.0716
     285      12.4890      27.1128
     286      12.6425      26.3849
     287      12.4322      26.0393
     288      12.6094      27.1898
     289      12.5256      29.1091
     290      12.5046      26.6492
     291      12.6171      26.8335
     292      12.5612      26.8271
     293      12.5601      26.0620
     294      12.5518      27.0526
     295      12.5016      26.3155
     296      12.3783      26.0210
     297      12.5851      27.1306
     298      12.6103      27.7157
     299      12.6165      27.7348
     300      12.4991      26.1529
     301      12.4681      26.0393
     302      12.6070      27.1942
     303      12.4915      26.5828
     304      12.5073      26.4263
     305      12.5097      26.4107
     306      12.5412      27.2614
     307      12.3985      26.9247
     308      12.4869      26.3370
     309      12.4975      27.2317
     310      12.4322      26.5524
     311      12.4165      26.2699
     312      12.5862      26.6208
     313      12.5449      26.2809
     314      12.5287      26.5564
     315      12.4156      26.0764
     316      12.3824      26.0915
     317      12.5198      27.8541
     318      12.4291      26.0803
     319      12.4532      25.7420
     320      12.4098      26.2085
     321      12.4428      26.1423
     322      12.4735      26.2187
     323      12.4411      26.9010
     324      12.4321      26.5453
     325      12.3007      25.8591
     326      12.4083      25.9554
     327      12.3608      25.5687
     328      12.4528      26.0792
     329      12.4239      26.2064
     330      12.5334      26.0858
     331      12.3818      26.0469
     332      12.5353      27.2441
     333      12.4089      27.4870
