#Frame          CA.CA   CA.CA[Max]
       1      38.4830      62.3592
       2      38.4972      62.4814
       3      38.4920      62.5374
       4      38.4931      62.3560
       5      38.4970      62.3362
       6      38.5310      61.1946
       7      38.5069      61.4912
       8      38.4647      61.9414
       9      38.4773      60.7690
      10      38.4270      60.7315
      11      38.5701      61.8333
      12      38.5677      60.5291
      13      38.5233      61.0960
      14      38.5183      61.3359
      15      38.5003      60.9460
      16      38.5346      61.1370
      17      38.5144      61.1126
      18      38.4447      60.9903
      19      38.4992      61.8533
      20      38.4882      62.0073
      21      38.4949      61.4239
      22      38.5196      61.7232
      23      38.4794      63.2942
      24      38.5241      61.3985
      25      38.5239      60.9607
