#Frame          CA.CA   CA.CA[Max]
       1      11.5598      21.2252
       2      11.4424      19.9977
       3      11.5958      20.7942
       4      11.4675      20.7761
       5      11.4029      21.0443
       6      11.4585      19.8053
       7      11.5156      19.4848
       8      11.4205      19.8589
       9      11.4831      20.7069
      10      11.4423      18.8532
      11      11.5156      20.2184
      12      11.5144      19.9677
      13      11.5083      20.4305
      14      11.5454      19.6313
      15      11.5480      21.7649
      16      11.4652      22.3940
      17      11.5124      23.4267
      18      11.4097      21.9415
      19      11.4904      21.5744
      20      11.5551      21.6209
      21      11.4642      19.5258
      22      11.4902      20.0156
      23      11.4478      20.2805
      24      11.4778      20.0112
      25      11.4918      20.8844
      26      11.5099      21.3222
      27      11.5672      21.1721
      28      11.4280      19.2983
      29      11.4419      19.6806
      30      11.4347      20.8814
      31      11.4444      21.0093
      32      11.6035      22.0541
      33      11.4191      21.9555
      34      11.4569      19.7720
      35      11.5447      21.0436
      36      11.5586      20.9750
      37      11.4382      20.4804
      38      11.5056      21.0494
      39      11.4186      20.8373
      40      11.3997      20.6580
      41      11.4864      20.8542
      42      11.4997      21.2846
      43      11.5317      21.8542
      44      11.4575      21.7047
      45      11.4994      19.7487
      46      11.5203      21.0460
      47      11.5428      20.5326
      48      11.4875      19.6147
      49      11.4428      19.4138
      50      11.4581      19.9046
      51      11.4599      20.8073
      52      11.5159      21.7852
      53      11.4232      20.5356
      54      11.5674      21.2253
      55      11.4618      21.0372
      56      11.5783      20.8089
      57      11.4793      20.3308
      58      11.4516      19.6902
      59      11.4882      20.3514
      60      11.4929      19.8714
      61      11.4781      20.4342
      62      11.5014      20.0028
      63      11.4190      19.3909
      64      11.4752      19.9177
      65      11.5262      20.7704
      66      11.5354      21.0817
      67      11.4333      21.1583
      68      11.4355      19.9057
      69      11.4954      20.4964
      70      11.5513      20.0975
      71      11.5072      20.9812
      72      11.5299      20.4751
      73      11.4718      20.6484
      74      11.4549      19.8751
      75      11.5107      20.3259
      76      11.5925      20.1708
      77      11.4147      20.2122
      78      11.4954      21.3165
      79      11.4460      21.0414
      80      11.4903      20.4985
      81      11.4567      20.5436
      82      11.5446      20.9054
      83      11.4661      19.8597
      84      11.5107      20.9734
      85      11.5469      21.2953
      86      11.4108      20.5337
      87      11.5605      21.3266
      88      11.4966      21.7595
      89      11.4831      19.8832
      90      11.4491      20.6069
      91      11.3773      20.9195
      92      11.4689      21.8727
      93      11.4497      20.1172
      94      11.5165      19.9581
      95      11.3527      19.7557
      96      11.4544      20.3400
      97      11.5147      21.3680
      98      11.5063      20.7784
      99      11.5406      21.5322
     100      11.4505      20.8385
     101      11.4768      20.0906
     102      11.4112      19.6940
     103      11.5031      21.2604
     104      11.4796      20.2245
     105      11.4327      20.0781
     106      11.4237      20.5770
     107      11.3894      19.9185
     108      11.5663      20.1019
     109      11.4529      20.1478
     110      11.4649      19.7831
     111      11.4387      20.3820
     112      11.4296      20.9237
     113      11.5928      21.2888
     114      11.3586      19.9219
     115      11.4411      20.0228
     116      11.4832      21.1357
     117      11.4428      19.9035
     118      11.5202      20.5331
     119      11.4841      19.6201
     120      11.5074      21.1624
     121      11.4807      21.1815
     122      11.5479      20.1852
     123      11.4667      20.5353
     124      11.4302      19.8689
     125      11.4494      20.0553
     126      11.4185      20.4188
     127      11.4413      21.9660
     128      11.5945      20.4862
     129      11.5142      21.3611
     130      11.4393      20.9766
     131      11.4984      21.3003
     132      11.4763      20.2238
     133      11.3920      19.4197
     134      11.4441      19.9716
     135      11.5423      20.8955
     136      11.5282      21.1730
     137      11.3926      20.6432
     138      11.5495      19.9924
     139      11.5734      20.3425
     140      11.4700      21.9096
     141      11.4198      21.8342
     142      11.5699      22.2875
     143      11.5079      21.6905
     144      11.5689      22.1276
     145      11.5879      22.7943
     146      11.5897      22.5015
     147      11.6691      22.1006
     148      11.5398      22.8439
     149      11.4507      22.2684
     150      11.5416      22.0470
     151      11.4273      21.8442
     152      11.4075      21.9130
     153      11.5379      21.7899
     154      11.5274      21.3205
     155      11.4832      20.0583
     156      11.4717      20.1708
     157      11.4776      20.2564
     158      11.3954      20.4799
     159      11.5644      20.0095
     160      11.5605      20.7439
     161      11.4412      20.2875
     162      11.4202      20.2402
     163      11.5028      19.6759
     164      11.4501      21.1739
     165      11.4323      20.6899
     166      11.5219      21.7019
     167      11.4138      21.2155
     168      11.4437      20.8847
     169      11.4557      21.8111
     170      11.3852      19.8402
     171      11.4147      20.1267
     172      11.3610      19.3576
     173      11.3870      19.4614
     174      11.4804      19.7912
     175      11.4331      20.6314
     176      11.4095      19.6046
     177      11.5058      20.0318
     178      11.4389      19.8967
     179      11.4461      20.0982
     180      11.5193      19.7909
     181      11.4338      20.4423
     182      11.4156      19.6972
     183      11.5210      20.1501
     184      11.4733      20.5198
     185      11.4546      19.1288
     186      11.4870      20.0194
     187      11.4726      19.1969
     188      11.5423      20.3679
     189      11.4116      19.7663
     190      11.4028      19.5365
     191      11.4448      19.7170
     192      11.5269      20.4292
     193      11.4589      20.0478
     194      11.5186      19.8228
     195      11.6099      19.7306
     196      11.5239      19.5501
     197      11.4967      19.3920
     198      11.5508      20.4996
     199      11.5914      20.4734
     200      11.6245      19.9679
     201      11.5109      19.7983
     202      11.5725      20.5655
     203      11.4625      19.5357
     204      11.5157      20.4317
     205      11.4999      20.3506
     206      11.3476      19.2889
     207      11.5708      19.9567
     208      11.4582      20.1708
     209      11.3767      19.7353
     210      11.5093      20.7752
     211      11.5266      20.7031
     212      11.4193      20.6013
     213      11.4719      22.0641
     214      11.4975      22.0650
     215      11.5023      22.6006
     216      11.5587      21.5852
     217      11.4156      21.6534
     218      11.5488      21.5527
     219      11.5731      21.4306
     220      11.6626      21.6115
     221      11.6049      22.2089
     222      11.5549      22.4478
     223      11.4857      22.0648
     224      11.5127      22.5729
     225      11.4522      22.6552
     226      11.4927      22.0006
     227      11.5398      21.7375
     228      11.4874      20.8885
     229      11.5315      21.1455
     230      11.5929      21.6002
     231      11.3842      21.5753
     232      11.4887      22.1007
     233      11.4199      20.1670
     234      11.5401      21.6454
     235      11.4175      21.5420
     236      11.4006      22.2852
     237      11.5256      20.3670
     238      11.5458      21.6578
     239      11.5528      22.0013
     240      11.5607      22.0692
     241      11.5133      20.5607
     242      11.4642      19.9877
     243      11.6058      21.8471
     244      11.5187      20.2878
     245      11.4704      21.5974
     246      11.4218      20.0587
     247      11.4602      20.7447
     248      11.5330      20.1657
     249      11.4774      19.8491
     250      11.5172      20.4084
     251      11.4989      20.9533
     252      11.4044      19.8526
     253      11.4764      20.2851
     254      11.5627      20.9000
     255      11.6076      20.3939
     256      11.5490      20.0102
     257      11.5905      20.3083
     258      11.4494      21.3989
     259      11.5252      21.6183
     260      11.4987      21.1092
     261      11.4299      20.5130
     262      11.4704      21.1374
     263      11.4340      20.3896
     264      11.3941      20.9263
     265      11.4271      20.7395
