#Frame          CA.CA   CA.CA[Max]
       1      13.2734      21.0749
       2      13.3119      21.1115
       3      13.3185      21.3045
       4      13.3396      21.5526
       5      13.2288      21.2747
       6      13.3404      21.9361
       7      13.3842      21.4211
       8      13.3205      20.8682
       9      13.2965      21.5254
      10      13.2668      21.1711
      11      13.2308      21.1198
      12      13.2659      20.9908
      13      13.2572      22.0359
      14      13.2863      21.3341
      15      13.2745      20.9854
      16      13.2799      21.6910
      17      13.2703      21.1613
      18      13.3056      21.8079
      19      13.2736      20.9909
      20      13.3865      21.2697
      21      13.3235      21.2489
      22      13.2734      21.0939
      23      13.3132      21.3145
      24      13.2317      21.8525
      25      13.2704      22.0240
      26      13.2579      20.7693
      27      13.2519      21.7359
      28      13.3460      21.3339
      29      13.3041      21.3161
      30      13.3141      23.5086
      31      13.2315      21.4663
      32      13.3020      21.4373
      33      13.2808      21.3578
      34      13.2836      22.2448
      35      13.2843      22.9683
      36      13.2727      21.7599
      37      13.2679      22.9898
      38      13.1744      20.9408
      39      13.3019      23.0067
      40      13.2702      21.7908
      41      13.2462      21.1427
      42      13.3271      22.1071
      43      13.3041      23.1133
      44      13.2879      21.7397
      45      13.3109      22.7678
      46      13.3333      21.0552
      47      13.2715      20.7862
      48      13.2002      21.4132
      49      13.3113      21.1704
      50      13.2405      21.6216
      51      13.2497      21.3274
      52      13.2472      21.8786
      53      13.2770      21.3333
      54      13.2715      21.1059
      55      13.2916      20.9916
      56      13.3320      21.5255
      57      13.2207      20.8149
      58      13.2453      21.2404
      59      13.3042      21.5021
      60      13.3051      21.2565
      61      13.2898      22.2547
      62      13.3010      20.9750
      63      13.2953      21.6938
      64      13.2081      20.8581
      65      13.3088      21.1428
      66      13.2556      20.9228
      67      13.3085      20.9072
      68      13.2779      22.5224
      69      13.3694      22.9443
      70      13.2305      21.1015
      71      13.2869      21.3207
      72      13.2879      21.8908
      73      13.3346      21.4519
      74      13.4203      22.6526
      75      13.2973      22.2549
      76      13.2943      21.0496
      77      13.3496      21.8913
      78      13.2793      21.5165
      79      13.3118      21.4821
      80      13.3631      22.0443
      81      13.3674      22.0167
      82      13.3314      22.0911
      83      13.3740      21.7459
      84      13.3234      21.3814
      85      13.2881      21.7066
      86      13.3414      21.6252
      87      13.3409      21.2040
      88      13.2919      20.9088
      89      13.3055      21.0528
      90      13.3347      21.5543
      91      13.2934      21.6492
      92      13.3846      21.8385
      93      13.3034      21.2412
      94      13.3544      21.6344
      95      13.3099      22.9218
      96      13.2682      21.7888
      97      13.3488      22.1525
      98      13.3794      22.8513
      99      13.3048      22.0809
     100      13.3947      22.5741
     101      13.2421      21.2772
     102      13.3380      21.9152
     103      13.3255      21.3286
     104      13.3396      21.8862
     105      13.3035      20.9564
     106      13.3392      21.6981
     107      13.3482      21.7352
     108      13.3207      23.6205
     109      13.3596      23.1972
     110      13.3331      22.2021
     111      13.3458      22.1211
     112      13.4167      22.4904
     113      13.4039      22.5704
     114      13.3413      21.4607
     115      13.3671      21.4178
     116      13.3543      21.4983
     117      13.3623      22.2293
     118      13.3600      22.7739
     119      13.3676      24.2809
     120      13.3125      22.5350
     121      13.3530      21.7590
     122      13.3336      21.8925
     123      13.2755      23.1968
     124      13.3507      22.5688
     125      13.3171      22.6111
     126      13.2975      21.9210
     127      13.3579      22.0433
     128      13.3263      21.9669
     129      13.2349      21.9923
     130      13.2855      21.1656
     131      13.2551      21.5181
     132      13.2514      21.1523
     133      13.2918      21.1984
     134      13.3377      22.1296
     135      13.3080      21.4370
     136      13.3382      22.3146
     137      13.2735      21.7986
     138      13.3241      21.5316
     139      13.2961      21.3765
     140      13.3896      23.6927
     141      13.3449      21.5124
     142      13.2905      20.9367
     143      13.2924      20.9006
     144      13.3035      21.0925
     145      13.3318      21.3578
     146      13.2571      22.5187
     147      13.2912      21.0975
     148      13.3743      21.8512
     149      13.3010      21.3522
     150      13.3053      22.5865
     151      13.3099      22.6274
     152      13.3494      22.0128
     153      13.3139      22.4122
     154      13.3071      21.7933
     155      13.3011      22.1399
     156      13.2991      24.2353
     157      13.3628      22.5066
     158      13.2689      21.3658
     159      13.2849      21.6288
     160      13.2719      23.8707
     161      13.2979      23.5788
     162      13.3593      24.1181
     163      13.3249      22.3363
     164      13.2645      22.8922
     165      13.2795      21.1912
     166      13.3024      21.1499
     167      13.3358      21.2019
     168      13.3031      23.5843
     169      13.3710      21.9960
     170      13.4113      23.3929
     171      13.3234      24.3390
     172      13.3976      22.0838
     173      13.2717      22.2611
     174      13.3237      22.1641
     175      13.3707      23.4475
     176      13.3572      23.4196
     177      13.4254      23.3105
     178      13.3896      21.8184
     179      13.3541      22.7230
     180      13.4087      22.6757
     181      13.3470      22.2752
     182      13.3082      21.9411
     183      13.3466      22.7781
     184      13.3294      22.0671
     185      13.3956      22.0005
     186      13.3575      23.0175
     187      13.3845      21.1413
     188      13.3730      22.3980
     189      13.3289      21.9349
     190      13.2578      21.6564
     191      13.2710      22.0835
     192      13.3192      22.5031
     193      13.2946      21.5289
     194      13.3042      22.1083
     195      13.2592      21.2038
     196      13.2726      20.7286
     197      13.3152      21.0603
     198      13.3364      21.2602
     199      13.3452      21.0007
     200      13.2733      21.4435
     201      13.3031      21.1141
     202      13.2637      21.1884
     203      13.3143      22.6492
     204      13.2762      21.3406
     205      13.3035      21.5541
     206      13.3101      22.1053
     207      13.3239      21.1525
     208      13.4072      21.7837
     209      13.3534      23.2027
     210      13.3662      23.2921
     211      13.3588      21.4653
     212      13.3432      21.9542
     213      13.2776      21.8721
     214      13.3520      22.3744
     215      13.3847      22.6114
     216      13.2912      20.9517
     217      13.2597      20.9249
     218      13.2324      21.1613
     219      13.2996      21.9619
     220      13.2977      22.3428
     221      13.2712      21.6899
     222      13.2694      21.7702
     223      13.3224      22.7353
     224      13.3458      22.7494
     225      13.3225      24.1801
     226      13.3431      23.2388
     227      13.3821      23.5102
     228      13.3828      23.1707
     229      13.3113      23.4358
     230      13.3637      23.3097
     231      13.3027      23.5070
     232      13.2886      22.6026
     233      13.2291      22.8305
