#Frame          CA.CA   CA.CA[Max]
       1      14.3794      33.6052
       2      14.4682      31.6611
       3      14.3984      33.1218
       4      14.5946      33.8581
       5      14.6220      33.4825
       6      14.4851      33.3876
       7      14.4866      33.9373
       8      14.4089      33.6300
       9      14.4431      33.2983
      10      14.4674      33.9751
      11      14.4674      32.7602
      12      14.5936      32.7462
      13      14.4962      32.4417
      14      14.5767      33.1219
      15      14.4643      33.5155
      16      14.5483      33.5985
      17      14.5066      32.9099
      18      14.6235      33.1305
      19      14.4588      33.3728
      20      14.4394      33.6973
      21      14.6644      33.2935
      22      14.5676      33.5674
      23      14.4693      34.2037
      24      14.4552      33.3722
      25      14.6463      34.0567
      26      14.3794      32.9907
      27      14.4698      33.7651
      28      14.5328      34.1173
      29      14.5282      33.0747
      30      14.5851      33.2460
      31      14.6154      34.0947
      32      14.5393      33.5200
      33      14.6894      33.9741
      34      14.3895      33.0146
      35      14.3755      33.8453
      36      14.5771      34.2202
      37      14.5473      33.9490
      38      14.5529      33.2961
      39      14.5830      32.7746
      40      14.4804      33.7221
      41      14.4745      33.7692
      42      14.5509      34.0542
      43      14.6163      34.0607
      44      14.5209      33.9145
      45      14.4561      32.6234
      46      14.4532      33.4758
      47      14.4026      34.2289
      48      14.4683      33.4142
      49      14.4657      33.4657
      50      14.4742      32.6281
      51      14.3817      33.2241
      52      14.4491      33.5735
      53      14.5160      34.6736
      54      14.4162      33.6198
      55      14.3716      34.2345
      56      14.5360      33.8297
      57      14.6404      33.6564
      58      14.6038      32.2984
      59      14.6784      33.9267
      60      14.3900      33.2569
      61      14.4930      33.8456
      62      14.5065      33.1416
      63      14.6051      33.2600
      64      14.6947      34.7087
      65      14.5188      34.1570
      66      14.5439      33.4225
      67      14.6023      33.9243
      68      14.5155      33.5429
      69      14.4476      32.7111
      70      14.4730      32.8443
      71      14.5805      35.1625
      72      14.5050      32.9634
      73      14.6055      33.3333
      74      14.6123      34.1076
      75      14.5592      33.5289
      76      14.5851      32.3986
      77      14.5404      34.2353
      78      14.6257      33.8143
      79      14.4882      33.6326
      80      14.3926      32.5421
      81      14.5440      34.3929
      82      14.4345      33.8303
      83      14.5077      33.9992
      84      14.5038      33.5831
      85      14.3788      32.7160
      86      14.4767      33.4109
      87      14.4846      33.3919
      88      14.5024      34.4522
      89      14.4346      33.7121
      90      14.5115      33.8175
      91      14.5757      34.3293
      92      14.4979      33.6247
      93      14.4164      33.8764
      94      14.5663      34.1602
      95      14.3472      34.0309
      96      14.5856      33.9336
