Properties,Ala,Asp,Cys,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
K°,0.825851393,0.236068111,0.259287926,0,0.126160991,0.709752322,0.335139319,0.339783282,0.291795666,0.339783282,0.38622291,0.407894737,1,0.276315789,0.739164087,0.486842105,0.382352941,0.429566563,0.458978328,0.089783282
Ht,0.230769231,0.175066313,0.403183024,0.177718833,0.76127321,0.026525199,0.230769231,0.835543767,0.435013263,0.575596817,0.442970822,0.023872679,0.734748011,0,0.225464191,0.018567639,0.018567639,0.49602122,1,0.708222812
Hp,0.47113164,0.020785219,0.759815242,0.092378753,0.665127021,0.27482679,0.325635104,1,0,0.734411085,0.602771363,0.163972286,0.011547344,0.177829099,0.321016166,0.154734411,0.256351039,0.859122402,0.681293303,0.591224018
P,0,0.955769231,0.028461538,0.959615385,0.006730769,0,0.992307692,0.001923077,0.951923077,0.0025,0.0275,0.065,0.030384615,0.067884615,1,0.032115385,0.031923077,0.0025,0.040384615,0.030961538
pHi,0.404255319,0,0.285356696,0.306633292,0.339173967,0.400500626,0.603254068,0.406758448,0.872340426,0.40175219,0.371714643,0.330413016,0.441802253,0.360450563,1,0.364205257,0.361702128,0.399249061,0.39048811,0.361702128
pK',0.960784314,0.637254902,0.284313725,0.81372549,0.519607843,0.960784314,0.450980392,0,0.803921569,0.980392157,0.901960784,0.647058824,0.617647059,0.794117647,0.441176471,0.833333333,0.725490196,0.941176471,1,0.823529412
Mw,0.108527132,0.449612403,0.356589147,0.558139535,0.697674419,0,0.620155039,0.434108527,0.550387597,0.434108527,0.573643411,0.441860465,0.310077519,0.550387597,0.76744186,0.23255814,0.341085271,0.325581395,1,0.821705426
Bl,0.444810544,0.454695222,0.552443712,0.558484349,0.900604064,0,0.563975837,0.988467875,0.676002197,0.988467875,0.705656233,0.517298188,0.770455794,0.606809445,0.597473915,0.333333333,0.67929709,0.997803405,1,0.803404723
Rf,0.44375,0,0,0.025,1,0.175,0.3375,0.89375,0.04375,0.925,0.74375,0.1625,0.75,0.3875,0.1125,0.25625,0.41875,0.71875,0.8875,0.7625
?,0.33717376,0.282153774,0.841053374,0.405831178,0.691276746,0,0.512814484,0.448154244,0.50058782,0.441570656,0.508817305,0.312250176,0.256995062,0.412885022,0.626851634,0.149306372,0.258876087,0.327298378,1,0.741829297
Hnc,0.805626598,0.877237852,0.721227621,0.457800512,0.95140665,0.769820972,0.544757033,1,0.26342711,0.918158568,0.810741688,0.447570332,0.677749361,0.429667519,0,0.601023018,0.6342711,0.923273657,0.854219949,0.713554987
Esm,1,0.5,0.9375,0.5,0.458333333,0.916666667,0.625,0.5625,0.3125,0.833333333,0.791666667,0.541666667,0.666666667,0.416666667,0,0.791666667,0.6875,0.6875,0.229166667,0.229166667
El,0.358490566,0.094339623,0.698113208,0.132075472,0.79245283,0.433962264,0.452830189,0.867924528,0,0.660377358,0.660377358,0.150943396,0.301886792,0.188679245,0.471698113,0.283018868,0.41509434,0.811320755,1,0.660377358
Et,0.791044776,0.223880597,1,0.253731343,0.731343284,0.791044776,0.582089552,0.865671642,0,0.895522388,0.880597015,0.28358209,0.492537313,0.223880597,0.164179104,0.567164179,0.597014925,0.910447761,0.746268657,0.47761194
P?,0.904255319,0.468085106,0.138297872,1,0.595744681,0,0.457446809,0.542553191,0.627659574,0.680851064,0.936170213,0.106382979,0,0.574468085,0.436170213,0.212765957,0.276595745,0.521276596,0.542553191,0.127659574
P?,0.345864662,0.127819549,0.616541353,0,0.759398496,0.285714286,0.37593985,0.92481203,0.278195489,0.69924812,0.511278195,0.390977444,0.135338346,0.54887218,0.421052632,0.285714286,0.616541353,1,0.751879699,0.827067669
Pt,0.174311927,0.908256881,0.660550459,0.247706422,0.119266055,1,0.440366972,0,0.495412844,0.110091743,0.119266055,1,0.963302752,0.467889908,0.440366972,0.880733945,0.449541284,0.027522936,0.449541284,0.614678899
Pc,0.117647059,0.607843137,0.588235294,0.245098039,0.117647059,0.911764706,0.470588235,0.068627451,0.392156863,0.098039216,0,0.764705882,1,0.274509804,0.470588235,0.735294118,0.480392157,0.039215686,0.166666667,0.470588235
Ca,0.145833333,0.270833333,0.25,0.416666667,0.6875,0,0.5,0.541666667,0.6875,0.458333333,0.625,0.3125,0.1875,0.479166667,0.875,0.145833333,0.3125,0.416666667,1,0.6875
F,0.574468085,0.957446809,0.382978723,0.808510638,0,1,0.234042553,0.14893617,0.957446809,0.212765957,0.191489362,0.744680851,1,0.808510638,0.765957447,0.936170213,0.574468085,0.212765957,0.170212766,0.680851064
Pr,0.641509434,0.188679245,1,0.094339623,0.886792453,0.641509434,0.509433962,0.981132075,0,0.867924528,0.716981132,0.20754717,0.264150943,0.132075472,0.056603774,0.358490566,0.358490566,0.830188679,0.679245283,0.41509434
Ra,0.323728814,0.137288136,0.210169492,0.255932203,0.815254237,0.227118644,0.301694915,1,0,0.693220339,0.579661017,0.055932203,0.055932203,0.154237288,0.125423729,0.108474576,0.137288136,0.906779661,0.755932203,0.210169492
Ns,0.39261745,0.023489933,1,0.073825503,0.583892617,0.429530201,0.308724832,0.882550336,0,0.83557047,0.506711409,0.053691275,0.258389262,0.191275168,0.275167785,0.218120805,0.312080537,0.919463087,0.704697987,0.620805369
?n,0.832460733,0.277486911,0.172774869,0.759162304,0.596858639,0.277486911,0.465968586,0.638743455,0.591623037,1,0.654450262,0.277486911,0,0.513089005,0.35078534,0.366492147,0.392670157,0.743455497,0.696335079,0.303664921
?c,0.583333333,0.966666667,0.205555556,0.9,0.344444444,0.127777778,0.094444444,0.161111111,0.111111111,0.105555556,0.188888889,0.3,1,0.45,0,0.233333333,0.477777778,0.133333333,0.561111111,0.183333333
?m,0.547085202,0.251121076,0.686098655,0.573991031,0.506726457,0.179372197,1,0.34529148,0.739910314,0.470852018,0.659192825,0.417040359,0,0.730941704,0.713004484,0.390134529,0.206278027,0.538116592,0.206278027,0.233183857
 V°,0.170971588,0.303794953,0.242896881,0.423504868,0.777170674,0,0.551758395,0.640472879,0.648221737,0.640770912,0.616928273,0.345320882,0.393204848,0.503179018,0.835386449,0.172561097,0.333598252,0.472183588,1,0.798231671
Nm,0.831578947,0.505263158,0.589473684,0.810526316,0.694736842,0.221052632,0.694736842,0.473684211,0.673684211,0.915789474,1,0.547368421,0,0.747368421,0.652631579,0.263157895,0.263157895,0.326315789,0.610526316,0.368421053
Nl,0.41958042,0.045454545,0.98951049,0,0.632867133,0.555944056,0.367132867,1,0.024475524,0.653846154,0.496503497,0.321678322,0.297202797,0.118881119,0.370629371,0.36013986,0.479020979,0.947552448,0.737762238,0.772727273
Hgm,0.602439024,0.056097561,0.973170732,0,0.62195122,0.47804878,0.595121951,0.951219512,0.048780488,0.670731707,0.604878049,0.4,0.236585366,0.3,0.419512195,0.490243902,0.32195122,0.775609756,1,0.609756098
ASAD,0.223684211,0.429824561,0.432017544,0.646929825,0.793859649,0,0.675438596,0.717105263,0.890350877,0.643274854,0.850877193,0.449561404,0.451023392,0.668859649,1,0.277777778,0.416666667,0.515350877,0.989766082,0.899122807
ASAN,0.170758929,0.496651786,0,0.704241071,0.169642857,0.126116071,0.444196429,0.116071429,1,0.147321429,0.261160714,0.475446429,0.477678571,0.598214286,0.854910714,0.34375,0.380580357,0.113839286,0.241071429,0.362723214
?ASA,0.217285945,0.206785137,0.567851373,0.294830372,0.843295638,0,0.516155089,0.797253635,0.351373183,0.693053312,0.839256866,0.242326333,0.238287561,0.39822294,0.581583199,0.151857835,0.274636511,0.578352181,1,0.823101777
?Gh,0.863057325,0.47611465,0.687898089,0.358280255,0.780254777,0.855095541,0.410828025,1,0.600318471,0.992038217,0.853503185,0.383757962,1,0.324840764,0,0.340764331,0.635350318,0.969745223,0.343949045,0.050955414
GhD,0.605459057,0.331513648,0.539454094,1,0.567245658,0.593548387,0.357816377,0.654094293,0.337965261,0.651612903,0.599007444,0.305210918,0.662034739,0.2808933,0,0.327543424,0.452605459,0.643176179,0.400496278,0.214888337
GhN,0.959039548,0.528248588,0.929378531,0.456214689,0.927966102,0.935028249,0.65960452,0.97740113,0.72740113,0.97740113,0.953389831,0.539548023,1,0.52259887,0,0.634180791,0.728813559,0.973163842,0.843220339,0.56920904
?Hh,0.915309446,0.66558089,0.786102063,0.54723127,0.60369164,1,0.416938111,0.741585233,0.613463626,0.776330076,0.706840391,0.541802389,0.94679696,0.482084691,0.026058632,0.513572204,0.681867535,0.8165038,0.182410423,0
T?Sh,0.19212963,0.162037037,0.212962963,0.243055556,0.736111111,0,0.597222222,0.761574074,0.453703704,0.675925926,0.622685185,0.291666667,0.324074074,0.333333333,0.833333333,0.289351852,0.358796296,0.55787037,1,0.962962963
?Cph,0.292738854,0,0.170191083,0.011210191,0.925605096,0.05477707,0.441273885,1,0.38089172,0.90522293,0.737324841,0.030063694,0.534012739,0.025732484,0.354904459,0.086878981,0.34089172,0.760509554,0.890700637,0.708535032
?Gc,0.130747126,0.472701149,0.44683908,0.57183908,0.520114943,0.155172414,0.625,0,0.326149425,0.007183908,0.219827586,0.525862069,0.001436782,0.587643678,0.811781609,0.548850575,0.307471264,0.030172414,0.860632184,1
?Hc,0.116843703,0.264795144,0.562215478,0.338391502,0.811836115,0,0.486342944,0.212443096,0.17754173,0.186646434,0.442336874,0.182852807,0.056145675,0.245827011,0.364188164,0.346737481,0.242033384,0.168437026,0.927921093,1
T?Sc,0.776442308,0.826923077,0.335336538,0.793269231,0,0.980769231,0.603365385,0.515625,0.842548077,0.561298077,0.334134615,1,0.763221154,0.953125,0.953125,0.760817308,0.724759615,0.609375,0.100961538,0.091346154
?G,0.240418118,0.219512195,0.62369338,0.202090592,1,0.278745645,0.442508711,0.219512195,0.135888502,0.219512195,0.432055749,0.142857143,0.226480836,0.167247387,0,0.108013937,0.163763066,0.226480836,0.867595819,0.56445993
?H,0.437611408,0.408199643,0.856506239,0.396613191,1,0.371657754,0.462566845,0.409090909,0.262923351,0.407308378,0.64973262,0.211229947,0.393939394,0.235294118,0,0.377896613,0.395721925,0.418894831,0.790552585,0.72459893
T?S,0.493413174,0.526946108,0.062275449,0.535329341,0,0.595209581,0.530538922,0.525748503,0.693413174,0.529341317,0.275449102,0.766467066,0.548502994,0.741317365,1,0.529341317,0.524550898,0.51497006,0.235928144,0.220359281
V,0.1,0.4,0.2,0.5,0.7,0,0.6,0.4,0.5,0.4,0.4,0.4,0.3,0.5,0.7,0.2,0.3,0.3,1,0.8
s,0,0.4,0,0.6,0.4,0,0.4,0.2,0,0.4,0,0.4,0,0.6,1,0,0.2,0.2,0.4,0.4
f,0,0.4,0.2,0.6,0.4,0,0.4,0.4,0.8,0.4,0.6,0.4,0,0.6,1,0.2,0.2,0.2,0.4,0.4
